ano,codigo,estacao,uf,regiao,latitude,longitude,altitude_m,temperaturas_validas,datetime_validos,cobertura_temp,cobertura_temp_pct,observacoes,temperatura_min_c,temperatura_max_c,primeiro_datetime,ultimo_datetime,coordenada_valida,dentro_dominio_era5,flag_temperatura_suspeita,possui_observacoes,elegivel_pareamento,motivo_elegibilidade,deslocamento_max_coord_km,coordenada_suspeita
2001,A805,SANTO AUGUSTO,RS,S,-27.85416666,-53.7911111,490.0,624,648,0.9629629629629629,96.29629629629629,624.0,14.2,35.4,2001-12-05 21:00:00,2001-12-31 23:00:00,True,True,False,True,True,aprovada,0.0308877693873735,False
2002,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,8014,8760,0.9148401826484018,91.48401826484019,8014.0,11.6,33.4,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0139884202775015,False
2002,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,7973,8760,0.9101598173515981,91.01598173515981,7973.0,10.0,37.6,2002-01-15 19:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0295938501110867,False
2002,A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,8049,8760,0.9188356164383562,91.88356164383562,8049.0,5.9,37.0,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,3.162982582999043,False
2002,A702,CAMPO GRANDE,MS,CO,-20.45,-54.6,530.0,7807,8760,0.8912100456621005,89.12100456621005,7807.0,4.5,36.6,2002-01-01 00:00:00,2002-12-31 22:00:00,True,True,False,True,True,aprovada,12.778846895826575,True
2002,A703,PONTA PORA,MS,CO,-22.5525,-55.71638888,675.0,8285,8760,0.9457762557077626,94.57762557077626,8285.0,2.6,36.7,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.009376544263082,False
2002,A704,TRES LAGOAS,MS,CO,-20.78999999,-51.71222222,313.0,7467,8760,0.8523972602739726,85.23972602739725,7467.0,6.4,38.8,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.7413364883189286,False
2002,A901,CUIABA,MT,CO,-15.55916666,-56.72944443,240.0,248,576,0.4305555555555556,43.05555555555556,248.0,24.1,36.4,2002-12-21 16:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,71.81020675158352,True
2002,A902,TANGARA DA SERRA,MT,CO,-14.65,-57.41666666,321.5,0,504,0.0,0.0,,,,,,True,True,False,False,False,sem_observacoes_validas,1.6136999708941684,False
2002,A904,SORRISO,MT,CO,-12.55,-55.71666666,380.0,338,384,0.8802083333333334,88.02083333333334,338.0,20.9,33.6,2002-12-16 18:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.8802165393899265,False
2002,A905,CAMPO NOVO DOS PARECIS,MT,CO,-13.78333333,-57.83333333,570.0,443,456,0.9714912280701754,97.14912280701753,443.0,20.5,33.0,2002-12-13 13:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.6341379998079806,False
2002,A906,GUARANTA DO NORTE,MT,CO,-9.95,-54.88333333,320.0,200,288,0.6944444444444444,69.44444444444444,200.0,22.1,34.6,2002-12-20 17:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,1.6062247680342705,False
2002,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,7843,8760,0.8953196347031963,89.53196347031962,7843.0,20.1,32.2,2002-01-01 00:00:00,2002-12-31 19:00:00,True,True,False,True,True,aprovada,1.7128560530155543,False
2002,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,5287,8760,0.6035388127853881,60.353881278538815,5287.0,12.6,38.3,2002-01-01 00:00:00,2002-12-14 15:00:00,True,True,False,True,True,aprovada,3.029650583876989,False
2002,A404,LUIZ EDUARDO MAGALHAES,BA,NE,-12.15222222,-45.82972221,754.04,5644,6192,0.911498708010336,91.1498708010336,5644.0,12.8,36.6,2002-04-22 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0308877693871967,False
