codigo,estacao,uf,regiao,anos_elegiveis,anos_cobertura_80,primeiro_ano_80,ultimo_ano_80,amplitude_periodo_anos,deslocamento_max_coord_km,coordenada_estavel_5km,candidata_tendencia_10a,candidata_tendencia_15a
A562,PATOS DE MINAS,MG,SE,9,8,2017.0,2025.0,9,0.0137035475108444,True,False,False
A563,JANAUBA,MG,SE,10,8,2016.0,2025.0,10,0.0,True,False,False
A564,DIVINOPOLIS,MG,SE,9,8,2017.0,2024.0,8,0.0423632508598072,True,False,False
A565,BAMBUI,MG,SE,10,8,2016.0,2025.0,10,0.0290182237142913,True,False,False
A566,ARACUAI,MG,SE,9,9,2017.0,2025.0,9,319.26220437037983,False,False,False
A567,MACHADO,MG,SE,9,9,2017.0,2025.0,9,0.0136395373164705,True,False,False
A568,UBERABA,MG,SE,9,9,2017.0,2025.0,9,0.0290781073730519,True,False,False
A569,SETE LAGOAS,MG,SE,10,9,2016.0,2025.0,10,0.0308866574364536,True,False,False
A570,OLIVEIRA,MG,SE,9,8,2018.0,2025.0,8,0.0308877693873735,True,False,False
A571,PARACATU,MG,SE,8,8,2018.0,2025.0,8,0.0308877693870199,True,False,False
A572,BELO HORIZONTE - SANTO AGOSTINHO,MG,SE,1,1,2025.0,2025.0,1,0.0,True,False,False
A601,ECOLOGIA AGRICOLA,RJ,SE,26,23,2000.0,2025.0,26,4.697063047300639,True,True,True
A602,MARAMBAIA,RJ,SE,24,21,2002.0,2024.0,23,0.4557929581143368,True,True,True
A603,XEREM,RJ,SE,24,18,2005.0,2025.0,21,0.0,True,True,True
A604,CAMBUCI,RJ,SE,24,17,2003.0,2025.0,23,2.4716348499994925,True,True,True
A606,ARRAIAL DO CABO,RJ,SE,20,20,2006.0,2025.0,20,1.0178616806468013,True,True,True
A607,CAMPOS,RJ,SE,20,20,2006.0,2025.0,20,0.6672998411384519,True,True,True
A608,MACAE,RJ,SE,20,20,2006.0,2025.0,20,0.9384457270177768,True,True,True
A609,RESENDE,RJ,SE,20,18,2006.0,2025.0,20,0.5455918980662726,True,True,True
A610,PICO DO COUTO,RJ,SE,20,13,2006.0,2025.0,20,1.8841383653123116,True,True,False
A611,VALENCA,RJ,SE,20,17,2006.0,2024.0,19,1.0056101914672944,True,True,True
A612,VITORIA,ES,SE,20,18,2006.0,2025.0,20,0.8019452090004253,True,True,True
A613,SANTA TERESA,ES,SE,19,19,2007.0,2025.0,19,0.0146513304914665,True,True,True
A614,LINHARES,ES,SE,20,20,2006.0,2025.0,20,0.0084124142555212,True,True,True
A615,ALFREDO CHAVES,ES,SE,19,16,2006.0,2024.0,19,0.0578117663279438,True,True,True
A616,SAO MATEUS,ES,SE,20,20,2006.0,2025.0,20,4.519637165751977,True,True,True
A617,ALEGRE,ES,SE,20,19,2006.0,2025.0,20,0.0,True,True,True
A618,TERESOPOLIS,RJ,SE,20,20,2006.0,2025.0,20,0.0420587065618442,True,True,True
A619,PARATI,RJ,SE,20,18,2007.0,2025.0,19,0.0419488680701706,True,True,True
A620,SAO TOME,RJ,SE,18,16,2008.0,2025.0,18,0.0286302190132461,True,True,True
A621,VILA MILITAR,RJ,SE,19,19,2007.0,2025.0,19,0.0680152868755843,True,True,True
A622,PRES. KENNEDY,ES,SE,18,13,2008.0,2025.0,18,0.0653884929675768,True,True,False
A623,NOVA VENECIA,ES,SE,15,13,2008.0,2022.0,15,1.7847260581513305,True,True,False
A624,NOVA FRIBURGO,RJ,SE,16,16,2010.0,2025.0,16,0.1875148767805862,True,True,True
A625,TRES RIOS,RJ,SE,10,10,2016.0,2025.0,10,0.0286187407023602,True,True,False
A626,RIO CLARO,RJ,SE,10,10,2016.0,2025.0,10,0.0092040562119585,True,True,False
A627,NITEROI,RJ,SE,8,8,2018.0,2025.0,8,0.0168213551048749,True,False,False
A628,ANGRA DOS REIS,RJ,SE,9,6,2017.0,2025.0,9,0.0308877693873735,True,False,False
A629,CARMO,RJ,SE,8,6,2018.0,2023.0,6,0.00913542768668,True,False,False
A630,SANTA MARIA MADALENA,RJ,SE,8,7,2018.0,2025.0,8,0.0286486156171059,True,False,False
A631,ECOPORANGA,ES,SE,9,5,2017.0,2023.0,7,0.0308877693873735,True,False,False
A632,MARILANDIA,ES,SE,9,7,2017.0,2025.0,9,0.0117142349394945,True,False,False
A633,VENDA NOVA DO IMIGRANTE,ES,SE,9,8,2017.0,2025.0,9,14.826010327153748,False,False,False
A634,VILA VELHA,ES,SE,9,8,2017.0,2025.0,9,0.0289379504664289,True,False,False
A635,ITATIAIA,RJ,SE,5,5,2017.0,2021.0,5,0.0083710112470872,True,False,False
A636,RIO DE JANEIRO - JACAREPAGUA,RJ,SE,9,9,2017.0,2025.0,9,0.0308877693873735,True,False,False
A637,Paty do Alferes - Avelar,RJ,SE,4,4,2022.0,2025.0,4,0.0,True,False,False
A652,FORTE DE COPACABANA,RJ,SE,19,18,2007.0,2025.0,19,0.028434798516772,True,True,True
A657,AFONSO CLAUDIO,ES,SE,15,14,2011.0,2025.0,15,0.0,True,True,False
A659,SILVA JARDIM,RJ,SE,11,11,2015.0,2025.0,11,0.0285063998209293,True,True,False
A667,SAQUAREMA - SAMPAIO CORREIA,RJ,SE,11,10,2015.0,2025.0,11,0.0284594188955756,True,True,False
A701,SAO PAULO - MIRANTE,SP,SE,20,20,2006.0,2025.0,20,1.4909814907111756,True,True,True
A702,CAMPO GRANDE,MS,CO,25,23,2001.0,2025.0,25,12.778846895826575,False,False,False
A703,PONTA PORA,MS,CO,24,22,2001.0,2025.0,25,0.009376544263082,True,True,True
A704,TRES LAGOAS,MS,CO,25,18,2001.0,2025.0,25,0.7413364883189286,True,True,True
A705,BAURU,SP,SE,25,21,2001.0,2025.0,25,0.0012838812990109,True,True,True
A706,CAMPOS DO JORDAO,SP,SE,23,17,2007.0,2025.0,19,0.0075133204713646,True,True,True
A707,PRESIDENTE PRUDENTE,SP,SE,23,21,2005.0,2025.0,21,0.8898277258167326,True,True,True
A708,FRANCA,SP,SE,24,19,2002.0,2023.0,22,0.5585348837112163,True,True,True
A709,IVINHEMA,MS,CO,21,15,2006.0,2025.0,20,0.8249152422990869,True,True,True
A710,PARANAIBA,MS,CO,20,13,2006.0,2025.0,20,0.0478669407554895,True,True,False
A711,SAO CARLOS,SP,SE,20,18,2008.0,2025.0,18,0.0930967055907842,True,True,True
A712,IGUAPE,SP,SE,20,16,2006.0,2025.0,20,5.022329499117271,False,False,False
A713,SOROCABA,SP,SE,20,17,2006.0,2024.0,19,11.838608482795609,False,False,False
A714,ITAPEVA,SP,SE,20,19,2006.0,2025.0,20,0.0836771740725405,True,True,True
A715,SAO MIGUEL ARCANJO,SP,SE,20,12,2006.0,2025.0,20,17.368885594999654,False,False,False
A716,OURINHOS,SP,SE,18,15,2006.0,2025.0,20,7.774573394647529,False,False,False
A717,NHUMIRIM,MS,CO,19,12,2006.0,2025.0,20,0.0425092678581039,True,True,False
A718,RANCHARIA,SP,SE,20,14,2006.0,2025.0,20,0.0669647538007289,True,True,False
A719,AQUIDAUANA,MS,CO,20,14,2006.0,2025.0,20,0.0,True,True,False
A720,COXIM,MS,CO,20,17,2006.0,2025.0,20,0.0292884565921721,True,True,True
A721,DOURADOS,MS,CO,20,16,2006.0,2025.0,20,0.0049134164770102,True,True,True
A722,MIRANDA,MS,CO,20,13,2006.0,2025.0,20,2.07154877807186,True,True,False
A723,PORTO MURTINHO,MS,CO,20,15,2006.0,2025.0,20,0.0126025421820552,True,True,True
A724,CORUMBA,MS,CO,20,13,2006.0,2025.0,20,0.0003713930565587,True,True,False
A725,AVARE,SP,SE,20,13,2006.0,2024.0,19,0.5033746133136823,True,True,False
A726,PIRACICABA,SP,SE,19,16,2006.0,2024.0,19,0.0476529117013414,True,True,True
A727,LINS,SP,SE,20,17,2006.0,2024.0,19,0.1110105961086904,True,True,True
A728,TAUBATE,SP,SE,20,17,2006.0,2025.0,20,0.0653169615429502,True,True,True
A729,VOTUPORANGA,SP,SE,16,14,2006.0,2021.0,16,0.042333838483257,True,True,False
A730,CHAPADAO DO SUL,MS,CO,20,14,2006.0,2023.0,18,0.0292384453331389,True,True,False
A731,MARACAJU,MS,CO,19,15,2006.0,2025.0,20,0.0293581460072909,True,True,True
A732,SAO GABRIEL DO OESTE,MS,CO,20,14,2007.0,2024.0,18,0.0057991861115111,True,True,False
A733,JALES,SP,SE,19,13,2007.0,2025.0,19,0.0142614155719118,True,True,False
A734,VALPARAISO,SP,SE,19,17,2007.0,2025.0,19,0.0128092569394227,True,True,True
A735,JOSE BONIFACIO,SP,SE,19,13,2008.0,2022.0,15,0.0288186184795342,True,True,False
A736,ARIRANHA,SP,SE,19,16,2007.0,2025.0,19,0.0288104336866639,True,True,True
A737,IBITINGA,SP,SE,19,14,2007.0,2023.0,17,13.73172716574877,False,False,False
A738,CASA BRANCA,SP,SE,18,16,2007.0,2025.0,19,0.4681825639862474,True,True,True
A739,ITAPIRA,SP,SE,17,15,2008.0,2025.0,18,0.0070475671038817,True,True,True
A740,SAO LUIS DO PARAITINGA,SP,SE,19,16,2007.0,2023.0,17,0.0283840197352462,True,True,True
A741,BARRA BONITA,SP,SE,18,15,2008.0,2025.0,18,11.150432350360065,False,False,False
A742,CASSILANDIA,MS,CO,18,14,2008.0,2025.0,18,0.0111220101088011,True,True,False
A743,RIO BRILHANTE,MS,CO,18,18,2008.0,2025.0,18,0.0308877693873735,True,True,True
A744,BRAGANCA PAULISTA,SP,SE,9,8,2017.0,2025.0,9,111.19819402231212,False,False,False
A746,BARRA DO TURVO,SP,SE,16,14,2008.0,2025.0,18,0.0308877693873735,True,True,False
A747,PRADOPOLIS,SP,SE,18,18,2008.0,2025.0,18,0.016433090980039,True,True,True
A748,BARRETOS,SP,SE,16,12,2010.0,2023.0,14,0.04231374251146,True,True,False
A749,JUTI,MS,CO,16,14,2008.0,2024.0,17,0.0081523052254331,True,True,False
A750,AMAMBAI,MS,CO,17,16,2008.0,2025.0,18,0.0,True,True,True
A751,SETE QUEDAS,MS,CO,18,15,2008.0,2025.0,18,0.0,True,True,True
A752,ITAQUIRAI,MS,CO,16,13,2011.0,2025.0,15,0.0283357765197232,True,True,False
A753,ITUVERAVA,SP,SE,18,15,2010.0,2025.0,16,0.042339438212266,True,True,True
A754,SIDROLANDIA,MS,CO,18,16,2008.0,2025.0,18,0.0,True,True,True
A755,BARUERI,SP,SE,15,15,2011.0,2025.0,15,0.0683090066409578,True,True,True
A756,AGUA CLARA,MS,CO,16,15,2010.0,2025.0,16,0.0289421895520081,True,True,True
A757,BELA VISTA,MS,CO,11,9,2011.0,2019.0,9,0.1263220833957708,True,False,False
A758,JARDIM,MS,CO,15,10,2011.0,2024.0,14,0.0915925745576081,True,True,False
A759,BATAGUASSU,MS,CO,12,10,2013.0,2025.0,13,0.1600935211280434,True,True,False
A760,COSTA RICA,MS,CO,14,12,2012.0,2024.0,13,19.04531000762305,False,False,False
A761,SONORA,MS,CO,13,13,2012.0,2025.0,14,21.79568672133029,False,False,False
A762,DRACENA,SP,SE,10,7,2016.0,2023.0,8,0.0093559456069696,True,False,False
A763,MARILIA,SP,SE,9,9,2017.0,2025.0,9,0.0129993635292447,True,False,False
A764,BEBDOURO,SP,SE,9,7,2016.0,2025.0,10,1.907833928995696,True,False,False
A765,BERTIOGA,SP,SE,9,7,2017.0,2025.0,9,0.0418591683146367,True,False,False
A766,REGISTRO,SP,SE,9,6,2017.0,2024.0,8,0.0096929607150481,True,False,False
A767,SAO SEBASTIAO,SP,SE,5,3,2017.0,2019.0,3,0.0127028329690204,True,False,False
A768,TUPA,SP,SE,9,9,2017.0,2025.0,9,0.004227699547604,True,False,False
A769,CACHOEIRA PAULISTA,SP,SE,8,7,2017.0,2024.0,8,0.0169231793763077,True,False,False
A770,SAO SIMAO,SP,SE,7,7,2019.0,2025.0,7,0.0,True,False,False
A771,SAO PAULO - INTERLAGOS,SP,SE,8,8,2018.0,2025.0,8,0.0615772334942779,True,False,False
A801,PORTO ALEGRE,RS,S,26,26,2000.0,2025.0,26,0.8731341190293443,True,True,True
A802,RIO GRANDE,RS,S,25,22,2001.0,2025.0,25,8.152257012951972,False,False,False
A803,SANTA MARIA,RS,S,25,25,2001.0,2025.0,25,2.472281743512315,True,True,True
A804,SANTANA DO LIVRAMENTO,RS,S,23,17,2001.0,2024.0,24,22.631809085923873,False,False,False
A805,SANTO AUGUSTO,RS,S,25,21,2001.0,2025.0,25,0.0308877693873735,True,True,True
A806,FLORIANOPOLIS,SC,S,23,19,2003.0,2023.0,21,0.010031635237006,True,True,True
A807,CURITIBA,PR,S,22,16,2007.0,2025.0,19,4.0042286881705875,True,True,True
A808,TORRES,RS,S,18,17,2006.0,2023.0,18,0.0269239690057973,True,True,True
A809,URUGUAIANA,RS,S,20,18,2006.0,2024.0,19,0.2981315074283595,True,True,True
A810,SANTA ROSA,RS,S,20,16,2006.0,2023.0,18,0.2931504509495591,True,True,True
A811,CANGUCU,RS,S,19,18,2007.0,2025.0,19,0.2845062400947044,True,True,True
A812,CACAPAVA DO SUL,RS,S,20,20,2006.0,2025.0,20,0.2830329097502026,True,True,True
A813,RIO PARDO,RS,S,20,19,2006.0,2025.0,20,0.1446601671535451,True,True,True
A814,URUSSANGA,SC,S,18,15,2008.0,2024.0,17,0.0271363358699928,True,True,True
A815,SAO JOAQUIM,SC,S,18,17,2008.0,2024.0,17,0.027201247158123,True,True,True
A816,NOVO HORIZONTE,SC,S,18,13,2009.0,2024.0,16,0.0676872669101993,True,True,False
A817,INDAIAL,SC,S,20,17,2006.0,2024.0,19,0.0550836401771114,True,True,True
A818,IVAI,PR,S,20,17,2006.0,2025.0,20,1.7624861772957332,True,True,True
A819,CASTRO,PR,S,19,15,2006.0,2020.0,15,4.826762416569122,True,True,True
A820,MAL. CANDIDO RONDON,PR,S,20,18,2006.0,2025.0,20,0.2854200472233945,True,True,True
A821,JOAQUIM TAVORA,PR,S,20,16,2006.0,2025.0,20,0.0013227312162659,True,True,True
A822,NOVA TEBAS,PR,S,18,14,2007.0,2025.0,19,0.9992712703858052,True,True,False
A823,INACIO MARTINS,PR,S,20,18,2006.0,2024.0,19,1.1755920248936929,True,True,True
A824,ICARAIMA,PR,S,17,11,2006.0,2018.0,13,0.1133978974042216,True,True,False
A825,GOIOERE,PR,S,7,3,2022.0,2024.0,3,3.396177087533794,True,False,False
A826,ALEGRETE,RS,S,20,19,2006.0,2025.0,20,0.2935648478101784,True,True,True
A827,BAGE,RS,S,19,18,2007.0,2025.0,19,0.0046985696161649,True,True,True
A828,ERECHIM,RS,S,20,18,2006.0,2025.0,20,0.2912567210972183,True,True,True
A829,SAO JOSE DOS AUSENTES,RS,S,20,16,2007.0,2023.0,17,0.3135879311227746,True,True,True
A830,SAO BORJA,RS,S,19,15,2007.0,2025.0,19,0.1021211122038479,True,True,True
A831,QUARAI,RS,S,19,18,2007.0,2025.0,19,0.0109242166272132,True,True,True
A832,SAO GABRIEL,RS,S,19,16,2008.0,2025.0,18,0.0090864729130327,True,True,True
A833,SANTIAGO,RS,S,17,15,2009.0,2025.0,17,0.0308877693873735,True,True,True
A834,TRAMANDAI,RS,S,18,15,2008.0,2023.0,16,0.08440509557691,True,True,True
A835,MARINGA,PR,S,20,17,2006.0,2024.0,19,1.6710027749319063,True,True,True
A836,JAGUARAO,RS,S,19,18,2007.0,2025.0,19,0.3132353517581089,True,True,True
A837,SOLEDADE,RS,S,18,16,2008.0,2025.0,18,1.6731680311793655,True,True,True
A838,CAMAQUA,RS,S,20,19,2006.0,2025.0,20,0.293032146563118,True,True,True
A839,PASSO FUNDO,RS,S,20,19,2006.0,2024.0,19,0.3100708571012267,True,True,True
A840,BENTO GONCALVES,RS,S,20,18,2006.0,2024.0,19,0.3135492504363105,True,True,True
A841,JOACABA,SC,S,17,15,2008.0,2023.0,16,1.6490542807025297,True,True,True
A842,NOVA FATIMA,PR,S,18,11,2007.0,2019.0,13,0.9273244458668212,True,True,False
A843,DOIS VIZINHOS,PR,S,19,14,2007.0,2025.0,19,0.5012050532971749,True,True,False
A844,LAGOA VERMELHA,RS,S,19,18,2007.0,2025.0,19,0.0823341797533892,True,True,True
A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,S,18,16,2007.0,2024.0,18,0.7940450521990303,True,True,True
A846,FOZ DO IGUACU,PR,S,18,13,2008.0,2024.0,17,0.0123169696635497,True,True,False
A847,ILHA DO MEL,PR,S,12,8,2007.0,2017.0,11,0.0,True,False,False
A848,DIONISIO CERQUEIRA,SC,S,18,14,2008.0,2024.0,17,0.0386551495470521,True,True,False
A849,DIAMANTE DO NORTE,PR,S,18,13,2008.0,2025.0,18,3.28010893010286,True,True,False
A850,PARANAPOEMA,PR,S,18,11,2008.0,2024.0,17,18.532513742905817,False,False,False
A851,ITAPOA,SC,S,19,15,2007.0,2024.0,18,0.0308877693870199,True,True,True
A852,SAO LUIZ GONZAGA,RS,S,19,16,2007.0,2025.0,19,0.0411344854910728,True,True,True
A853,CRUZ ALTA,RS,S,19,18,2007.0,2024.0,18,0.0308877693866662,True,True,True
A854,FREDERICO WESTPHALEN,RS,S,19,19,2007.0,2025.0,19,1.645410542419919,True,True,True
A855,PLANALTO,PR,S,19,15,2009.0,2025.0,17,0.0163209891814161,True,True,True
A856,PALMEIRA DAS MISSOES,RS,S,18,15,2008.0,2024.0,17,0.1891260847039295,True,True,True
A857,SAO MIGUEL DO OESTE,SC,S,17,13,2008.0,2022.0,15,1.4491765387583753,True,True,False
A858,XANXERE,SC,S,18,16,2008.0,2025.0,18,1.6796960902150666,True,True,True
A859,CACADOR,SC,S,17,16,2008.0,2023.0,16,0.0322654336360656,True,True,True
A860,CURITIBANOS,SC,S,18,17,2008.0,2025.0,18,0.0115858568253165,True,True,True
A861,RIO DO CAMPO,SC,S,18,10,2009.0,2025.0,17,0.0936120208449822,True,True,False
A862,RIO NEGRINHO,SC,S,18,17,2008.0,2025.0,18,0.6371567961705074,True,True,True
A863,ITUPORANGA,SC,S,18,17,2008.0,2025.0,18,0.0274180871463707,True,True,True
A864,MAJOR VIEIRA,SC,S,17,15,2009.0,2025.0,17,0.0135301379836293,True,True,True
A865,LAGES,SC,S,12,9,2014.0,2025.0,12,0.0097145670489835,True,False,False
A866,Laguna  - Farol de Santa Marta,SC,S,17,13,2008.0,2024.0,17,0.0308877693873735,True,True,False
A867,ARARANGUA,SC,S,18,17,2008.0,2025.0,18,0.0137815711868799,True,True,True
A868,ITAJAI,SC,S,16,15,2010.0,2025.0,16,0.013238561923921,True,True,True
A869,CIDADE GAUCHA,PR,S,18,14,2008.0,2025.0,18,1.8544388900154567,True,True,False
A870,RANCHO QUEIMADO,SC,S,10,8,2016.0,2025.0,10,0.0141450635842191,True,False,False
A871,JAPIRA,PR,S,18,16,2008.0,2025.0,18,0.0317758352291623,True,True,True
A872,VENTANIA,PR,S,14,10,2011.0,2025.0,15,5.895476300781698,False,False,False
A873,MORRETES,PR,S,18,17,2008.0,2025.0,18,0.4324254355694092,True,True,True
A874,SAO MATEUS DO SUL,PR,S,15,12,2011.0,2025.0,15,0.077326360658837,True,True,False
A875,GENERAL CARNEIRO,PR,S,18,16,2008.0,2025.0,18,0.08299961759677,True,True,True
A876,CLEVELANDIA,PR,S,18,17,2008.0,2025.0,18,0.0276624088765188,True,True,True
A878,MOSTARDAS,RS,S,16,12,2008.0,2023.0,16,0.100458792555285,True,True,False
A879,CANELA,RS,S,18,16,2008.0,2024.0,17,0.0269180806542921,True,True,True
A880,VACARIA,RS,S,18,18,2008.0,2025.0,18,0.0040156951971225,True,True,True
A881,DOM PEDRITO,RS,S,16,12,2010.0,2025.0,16,0.0085422032284453,True,True,False
A882,TEUTONIA,RS,S,14,13,2012.0,2024.0,13,0.1475651645041273,True,True,False
A883,IBIRUBA,RS,S,14,13,2012.0,2024.0,13,0.0151820420333164,True,True,False
A884,CAMPO BOM,RS,S,13,12,2013.0,2024.0,12,0.0168382709997691,True,True,False
A886,TUPANCIRETA,RS,S,10,10,2016.0,2025.0,10,89.45026404921933,False,False,False
A887,CAPAO DO LEAO (PELOTAS),RS,S,7,7,2019.0,2025.0,7,0.0,True,False,False
A889,SAO VICENTE DO SUL,RS,S,10,8,2016.0,2024.0,9,0.040913056127886,True,False,False
A893,ENCRUZILHADA DO SUL,RS,S,8,7,2018.0,2025.0,8,0.0,True,False,False
A894,SERAFINA CORREA,RS,S,10,9,2016.0,2025.0,10,0.0230775336234692,True,False,False
A895,CHAPECO,SC,S,7,6,2019.0,2024.0,6,96.73601488726676,False,False,False
A897,CAMBARA DO SUL,RS,S,10,10,2016.0,2025.0,10,0.0365606764418209,True,True,False
A898,CAMPOS NOVOS,SC,S,7,7,2019.0,2025.0,7,0.0,True,False,False
A899,Santa Vitoria do Palmar - Barra do Chui,RS,S,18,15,2008.0,2025.0,18,0.1038750922080034,True,True,True
A901,CUIABA,MT,CO,24,18,2003.0,2024.0,22,71.81020675158352,False,False,False
A902,TANGARA DA SERRA,MT,CO,22,16,2004.0,2025.0,22,1.6136999708941684,True,True,True
A903,S.J. DO RIO CLARO,MT,CO,23,14,2003.0,2025.0,23,1.2345185721150294,True,True,False
