ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,alerta_distancia,observacoes_inmet,cobertura_temp
2002,A708,FRANCA,SP,SE,-20.57999999,-47.37999999,1026.0,-20.5,-47.5,17172,15.338193616564057,False,444.0,0.925
2002,A801,PORTO ALEGRE,RS,S,-30.05,-51.16666666,46.97,-30.0,-51.25,23275,9.760944874702881,False,7487.0,0.8546803652968037
2002,A802,RIO GRANDE,RS,S,-32.03333333,-52.1,2.46,-32.0,-52.0,24560,10.130568013538154,False,7908.0,0.9027397260273972
2002,A803,SANTA MARIA,RS,S,-29.70833333,-53.70361111,95.0,-29.75,-53.75,23104,6.444369486898702,False,7927.0,0.9049086757990868
2002,A804,SANTANA DO LIVRAMENTO,RS,S,-30.84249999,-55.61277777,196.0,-30.75,-55.5,23741,14.893948520583603,False,7093.0,0.8097031963470319
2002,A805,SANTO AUGUSTO,RS,S,-27.85416666,-53.7911111,490.0,-27.75,-53.75,21816,12.26836775593502,False,7657.0,0.8740867579908675
2002,A901,CUIABA,MT,CO,-15.55916666,-56.72944443,240.0,-15.5,-56.75,13915,6.937839647491648,False,248.0,0.4305555555555556
2002,A904,SORRISO,MT,CO,-12.55,-55.71666666,380.0,-12.5,-55.75,11987,6.633469370805061,False,338.0,0.8802083333333334
2002,A905,CAMPO NOVO DOS PARECIS,MT,CO,-13.78333333,-57.83333333,570.0,-13.75,-57.75,12784,9.73341150518281,False,443.0,0.9714912280701754
2002,A906,GUARANTA DO NORTE,MT,CO,-9.95,-54.88333333,320.0,-10.0,-55.0,10380,13.933907993353664,False,200.0,0.6944444444444444
2003,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,False,8208.0,0.936986301369863
2003,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,-16.75,-49.25,14750,12.343314852630817,False,7920.0,0.9041095890410958
2003,A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,-17.75,-49.0,15395,11.220997656564998,False,5861.0,0.6690639269406393
2003,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,False,1958.0,0.2235159817351598
2003,A201,BELEM,PA,N,-1.41027777,-48.43833333,24.0,-1.5,-48.5,4932,12.104647445371176,False,6279.0,0.7561416184971098
2003,A202,CASTANHAL,PA,N,-1.30083333,-47.93083332,65.0,-1.25,-48.0,4773,9.543159659510271,False,7748.0,0.9439571150097466
2003,A203,SAO LUIS,MA,NE,-2.52694443,-44.21305555,56.0,-2.5,-44.25,5593,5.081347157966228,False,6637.0,0.8205984174085065
2003,A303,MACEIO,AL,NE,-9.55111111,-35.77027777,80.0,-9.5,-35.75,10135,6.102850229986803,False,7423.0,0.9977150537634408
2003,A304,NATAL,RN,NE,-5.9,-35.2,48.6,-6.0,-35.25,7883,12.418621597788269,False,5007.0,0.6708199356913184
2003,A305,FORTALEZA,CE,NE,-3.83222221,-38.53777777,26.45,-3.75,-38.5,6421,10.057723972102671,False,5722.0,0.7521030494216614
2003,A306,SOBRAL,CE,NE,-3.73166666,-40.34555555,109.62,-3.75,-40.25,6414,10.796868768394305,False,6215.0,0.8017285861713106
2003,A307,PETROLINA,PE,NE,-9.38805555,-40.48944444,370.46,-9.5,-40.5,10116,12.501403239169816,False,7516.0,0.9973460721868364
2003,A308,PARNAIBA,PI,NE,-3.08638888,-41.78333333,79.5,-3.0,-41.75,5925,10.29441727986661,False,5495.0,0.6959219858156028
2003,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,False,7917.0,0.9037671232876712
2003,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.266082519300161,False,5204.0,0.5940639269406393
2003,A404,LUIZ EDUARDO MAGALHAES,BA,NE,-12.15222222,-45.82972221,754.04,-12.25,-45.75,11866,13.902605555152325,False,7968.0,0.9095890410958904
2003,A405,CARAVELAS,BA,NE,-17.73333333,-39.26666666,2.88,-17.75,-39.25,15434,2.5593272588675533,False,3084.0,0.3520547945205479
2003,A406,CRUZ DAS ALMAS,BA,NE,-12.65,-39.15,225.87,-12.75,-39.25,12214,15.534184952457371,False,3601.0,0.4323967339097022
2003,A407,ITIRUCU,BA,NE,-13.52833332,-40.11972221,755.61,-13.5,-40.0,12694,13.321825104071337,False,7819.0,0.9993609406952966
2003,A408,ITABERABA,BA,NE,-12.51666666,-40.3,249.89,-12.5,-40.25,12049,5.735455331309945,False,8075.0,0.9983926805143424
2003,A409,ARACAJU,SE,NE,-10.95027777,-37.05,4.72,-11.0,-37.0,11096,7.769095876652661,False,7722.0,0.9961300309597524
2003,A410,ILHEUS,BA,NE,-14.65944444,-39.1811111,78.0,-14.75,-39.25,13502,12.501515926422778,False,8179.0,0.9993890518084066
2003,A412,MACAJUBA,BA,NE,-12.11666666,-40.18333333,380.0,-12.0,-40.25,11727,14.860916451930818,False,7747.0,0.9722640562248996
2003,A502,BARBACENA,MG,SE,-21.22888888,-43.76694443,1155.0,-21.25,-43.75,17670,2.9316581961479566,False,4085.0,0.466324200913242
2003,A505,ARAXA,MG,SE,-19.60555555,-46.94944444,1020.0,-19.5,-47.0,16530,12.877313135494113,False,8757.0,0.9996575342465752
2003,A506,MONTES CLAROS,MG,SE,-16.71666666,-43.86666666,646.29,-16.75,-43.75,14772,12.964557427394917,False,8519.0,0.9724885844748858
2003,A507,UBERLANDIA,MG,SE,-18.91722221,-48.25555555,869.0,-19.0,-48.25,16203,9.22300615401448,False,5038.0,0.5751141552511415
2003,A508,ALMENARA,MG,SE,-16.16666666,-40.68777777,194.0,-16.25,-40.75,14462,11.40191467631017,False,8511.0,0.9715753424657534
2003,A601,ECOLOGIA AGRICOLA,RJ,SE,-22.8,-43.68333333,33.0,-22.75,-43.75,18636,8.810703090067518,False,8188.0,0.934703196347032
2003,A602,MARAMBAIA,RJ,SE,-23.05,-43.6,9.7,-23.0,-43.5,18798,11.646404466243496,False,1834.0,0.2093607305936073
2003,A603,XEREM,RJ,SE,-22.58972221,-43.28222221,33.0,-22.5,-43.25,18477,10.511152175857386,False,6219.0,0.709931506849315
2003,A604,CAMBUCI,RJ,SE,-21.56666666,-41.95,35.0,-21.5,-42.0,17838,9.038759896771698,False,8396.0,0.9584474885844748
2003,A702,CAMPO GRANDE,MS,CO,-20.45,-54.6,530.0,-20.5,-54.5,17144,11.80785368509936,False,6266.0,0.715296803652968
2003,A703,PONTA PORA,MS,CO,-22.5525,-55.71638888,675.0,-22.5,-55.75,18427,6.782124507540232,False,744.0,0.084931506849315
2003,A704,TRES LAGOAS,MS,CO,-20.78999999,-51.71222222,313.0,-20.75,-51.75,17316,5.93378592108283,False,3401.0,0.3882420091324201
2003,A705,BAURU,SP,SE,-22.35805555,-49.02888888,666.0,-22.25,-49.0,18293,12.377346559326243,False,7789.0,0.8891552511415525
2003,A706,CAMPOS DO JORDAO,SP,SE,-22.75027777,-45.60388888,1642.0,-22.75,-45.5,18629,10.653236962663385,False,5352.0,0.6109589041095891
2003,A707,PRESIDENTE PRUDENTE,SP,SE,-22.11999999,-51.4,435.55,-22.0,-51.5,18122,16.859685870030667,False,2092.0,0.2633434038267875
2003,A708,FRANCA,SP,SE,-20.57999999,-47.37999999,1026.0,-20.5,-47.5,17172,15.338193616564057,False,2469.0,0.2818493150684931
2003,A801,PORTO ALEGRE,RS,S,-30.05,-51.16666666,46.97,-30.0,-51.25,23275,9.760944874702881,False,7348.0,0.8388127853881279
2003,A802,RIO GRANDE,RS,S,-32.03333333,-52.1,2.46,-32.0,-52.0,24560,10.130568013538154,False,7896.0,0.9013698630136986
