codigo,anos_validos_tendencia,primeiro_ano_valido,ultimo_ano_valido,amplitude_anos,maior_sequencia_consecutiva,cobertura_calendario_mediana,cobertura_calendario_min,estacao,uf,regiao,coordenada_estavel_5km,rede_tendencia_10a,rede_tendencia_15a,rede_consecutiva_10a,rede_consecutiva_15a
B828,0,,,0,0,,,ACEGUA,RS,S,True,False,False,False,False
B829,0,,,0,0,,,SANTA VITORIA DO PALMAR (RESERVA DO TAIM),RS,S,True,False,False,False,False
B830,0,,,0,0,,,SANTA VITORIA DO PALMAR (CENTRO),RS,S,True,False,False,False,False
B832,0,,,0,0,,,CAPAO DA CANOA,RS,S,True,False,False,False,False
B836,0,,,0,0,,,PALMARES DO SUL,RS,S,True,False,False,False,False
B839,0,,,0,0,,,SANTO ANTONIO DA PATRULHA,RS,S,True,False,False,False,False
B841,0,,,0,0,,,TORRES,RS,S,True,False,False,False,False
F501,12,2014.0,2025.0,12,12,0.9981190895027073,0.9237442922374429,BELO HORIZONTE - CERCADINHO,MG,SE,True,True,False,True,False
S101,0,,,0,0,,,FORTE PRINCIPE,RO,N,True,False,False,False,False
S102,0,,,0,0,,,PEF IPIRANGA,AM,N,True,False,False,False,False
S103,0,,,0,0,,,CRMN MANAUS,AM,N,True,False,False,False,False
S104,0,,,0,0,,,DTCEA VILHENA,RO,N,True,False,False,False,False
S105,0,,,0,0,,,DTCEA TABATINGA,AM,N,True,False,False,False,False
S107,0,,,0,0,,,DOM ELISEU,PA,N,True,False,False,False,False
S108,0,,,0,0,,,SAO BENTO,MA,NE,True,False,False,False,False
S110,2,2017.0,2018.0,2,2,0.854337899543379,0.8248858447488584,DTCEA GUAJARA-MIRIM,RO,N,True,False,False,False,False
S113,0,,,0,0,,,BALIZA,RR,N,True,False,False,False,False
S114,0,,,0,0,,,PACARAIMA,RR,N,True,False,False,False,False
S115,0,,,0,0,,,PEF YAUARETE,AM,N,True,False,False,False,False
S116,0,,,0,0,,,PEF ESTIRAO DO EQUADOR,AM,N,True,False,False,False,False
S117,2,2017.0,2018.0,2,2,0.944920091324201,0.9005707762557078,DTCEA TEFE,AM,N,True,False,False,False,False
S120,2,2017.0,2018.0,2,2,0.9033105022831049,0.8165525114155251,DTCEA JACAREACANGA,PA,N,True,False,False,False,False
S121,0,,,0,0,,,SANTA ISABEL DO RIO NEGRO,AM,N,True,False,False,False,False
S122,0,,,0,0,,,EB_PEF_BONFIM,MG,SE,True,False,False,False,False
S701,3,2019.0,2021.0,3,3,0.9204337899543379,0.861986301369863,ANGELICA,MS,CO,True,False,False,False,False
S702,3,2019.0,2021.0,3,3,0.9458904109589041,0.9123287671232877,ARAL MOREIRA,MS,CO,True,False,False,False,False
S703,0,,,0,0,,,BANDEIRANTES,MS,CO,True,False,False,False,False
S704,1,2020.0,2020.0,1,1,0.9996584699453552,0.9996584699453552,BONITO,MS,CO,True,False,False,False,False
S705,0,,,0,0,,,BRASILANDIA,MS,CO,True,False,False,False,False
S706,2,2018.0,2020.0,3,1,0.831666697856626,0.8216894977168949,CAARAPO,MS,CO,True,False,False,False,False
S707,0,,,0,0,,,CAMAPUA,MS,CO,True,False,False,False,False
S708,1,2018.0,2018.0,1,1,0.8355022831050228,0.8355022831050228,FATIMA DO SUL,MS,CO,True,False,False,False,False
S709,2,2019.0,2020.0,2,2,0.9013701749132919,0.8029680365296804,IGUATEMI,MS,CO,True,False,False,False,False
S710,4,2018.0,2021.0,4,4,0.8624429223744292,0.8353881278538813,ITAPORA,MS,CO,True,False,False,False,False
S711,1,2019.0,2019.0,1,1,0.9099315068493151,0.9099315068493151,LAGUNA CARAPA,MS,CO,True,False,False,False,False
S712,1,2020.0,2020.0,1,1,0.8772768670309654,0.8772768670309654,NOVA ALVORADA DO SUL,MS,CO,True,False,False,False,False
S713,0,,,0,0,,,NOVA ANDRADINA,MS,CO,True,False,False,False,False
S714,0,,,0,0,,,PEDRO GOMES,MS,CO,True,False,False,False,False
S715,2,2020.0,2021.0,2,2,0.9039955897397509,0.8081050228310502,RIBAS DO RIO PARDO,MS,CO,True,False,False,False,False
S716,3,2019.0,2021.0,3,3,0.8297945205479452,0.8058219178082192,SANTA RITA DO PARDO,MS,CO,True,False,False,False,False
S717,1,2019.0,2019.0,1,1,0.9998858447488584,0.9998858447488584,SELVIRIA,MS,CO,True,False,False,False,False
