ano,codigo,estacao,regiao,uf,latitude,longitude,altitude_m,data_fundacao,arquivo_origem,linhas_total,datetime_validos,temperaturas_validas,duplicados_datetime,primeiro_datetime_utc,ultimo_datetime_utc,distancia_ref_km,latitude_referencia,longitude_referencia
2018,A005,PORANGATU,CO,GO,-13.51444444,-49.19833333,365.5,2018-09-13,2018/INMET_CO_GO_A005_PORANGATU_13-09-2018_A_31-12-2018.CSV,2640,2640,2614,0,2018-09-13T00:00:00,2018-12-31T23:00:00,24.414217027042948,-13.30944444,-49.11749999
2019,A005,,,GO,-13.309528,-49.117478,365.0,04/06/01,2019/INMET_CO_GO_A005_PORANGATU_01-01-2019_A_31-12-2019.CSV,8760,8760,8714,0,2019-01-01T00:00:00,2019-12-31T23:00:00,0.009591313039842203,-13.30944444,-49.11749999
2020,A005,PORANGATU,CO,GO,-13.309528,-49.117478,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2020_A_31-12-2020.CSV,8784,8784,4810,0,2020-01-01T00:00:00,2020-12-31T23:00:00,0.009591313039842203,-13.30944444,-49.11749999
2021,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2021_A_31-12-2021.CSV,8760,8760,3880,0,2021-01-01T00:00:00,2021-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2022,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2022_A_31-12-2022.CSV,8760,8760,8483,0,2022-01-01T00:00:00,2022-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2023,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2023_A_31-12-2023.CSV,8760,8760,5954,0,2023-01-01T00:00:00,2023-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2024,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2024_A_31-12-2024.CSV,8784,8784,8368,0,2024-01-01T00:00:00,2024-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2025,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,2025/INMET_CO_GO_A005_PORANGATU_01-01-2025_A_31-12-2025.CSV,8760,8760,8455,0,2025-01-01T00:00:00,2025-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2008,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2008/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_27-04-2008_A_31-12-2008.CSV,5976,5976,5841,0,2008-04-27T00:00:00,2008-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2009,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2009/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2009_A_31-12-2009.CSV,8760,8760,7521,0,2009-01-01T00:00:00,2009-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2010,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2010/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2010_A_31-12-2010.CSV,8760,8760,6975,0,2010-01-01T00:00:00,2010-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2011,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2011/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2011_A_31-12-2011.CSV,8760,8760,8701,0,2011-01-01T00:00:00,2011-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2012,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2012/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2012_A_31-12-2012.CSV,8784,8784,8778,0,2012-01-01T00:00:00,2012-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2013,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2013/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2013_A_31-12-2013.CSV,8760,8760,8326,0,2013-01-01T00:00:00,2013-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2014,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2014/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2014_A_31-12-2014.CSV,8760,8760,8563,0,2014-01-01T00:00:00,2014-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2015,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2015/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2015_A_31-12-2015.CSV,8760,8760,8183,0,2015-01-01T00:00:00,2015-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2016,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2016/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2016_A_31-12-2016.CSV,8784,8784,8165,0,2016-01-01T00:00:00,2016-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2017,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2017/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2017_A_31-12-2017.CSV,8760,8760,8760,0,2017-01-01T00:00:00,2017-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2018,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2018/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2018_A_31-12-2018.CSV,8760,8760,6792,0,2018-01-01T00:00:00,2018-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2019,A039,,,TO,-11.887377,-49.608215,215.2,27/04/08,2019/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2019_A_31-12-2019.CSV,8760,8760,8571,0,2019-01-01T00:00:00,2019-12-31T23:00:00,11.102303600135693,-11.98722221,-49.60833333
2020,A039,FORMOSO DO ARAGUAIA,N,TO,-11.88749999,-49.60833333,215.2,27/04/08,INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2020_A_31-12-2020.CSV,8784,8784,8784,0,2020-01-01T00:00:00,2020-12-31T23:00:00,11.08862025396611,-11.98722221,-49.60833333
2021,A039,FORMOSO DO ARAGUAIA,N,TO,-11.88749999,-49.60833333,215.2,27/04/08,INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2021_A_31-12-2021.CSV,8760,8760,8045,0,2021-01-01T00:00:00,2021-12-31T23:00:00,11.08862025396611,-11.98722221,-49.60833333
2022,A039,FORMOSO DO ARAGUAIA,N,TO,-11.88749999,-49.60833333,215.2,27/04/08,INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2022_A_31-12-2022.CSV,8760,8760,7397,0,2022-01-01T00:00:00,2022-12-31T23:00:00,11.08862025396611,-11.98722221,-49.60833333
2023,A039,FORMOSO DO ARAGUAIA,N,TO,-11.88749999,-49.60833333,215.2,27/04/08,INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2023_A_31-12-2023.CSV,8760,8760,5566,0,2023-01-01T00:00:00,2023-12-31T23:00:00,11.08862025396611,-11.98722221,-49.60833333
2024,A039,FORMOSO DO ARAGUAIA,N,TO,-11.88749999,-49.60833333,215.2,27/04/08,INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2024_A_31-12-2024.CSV,8784,8784,8477,0,2024-01-01T00:00:00,2024-12-31T23:00:00,11.08862025396611,-11.98722221,-49.60833333
2025,A039,FORMOSO DO ARAGUAIA,N,TO,-11.88749999,-49.60833333,215.2,27/04/08,2025/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2025_A_31-12-2025.CSV,8760,8760,8526,0,2025-01-01T00:00:00,2025-12-31T23:00:00,11.08862025396611,-11.98722221,-49.60833333
2016,A050,RIO SONO,N,TO,-9.16,-47.13277777,291.0,2016-08-03,2016/INMET_N_TO_A050_RIO SONO_03-08-2016_A_31-12-2016.CSV,3624,3624,2859,0,2016-08-03T00:00:00,2016-12-31T23:00:00,70.42684978085688,-9.793363,-47.132732
2017,A050,RIO SONO,N,TO,-9.16,-47.13277777,291.0,2016-08-03,2017/INMET_N_TO_A050_RIO SONO_01-01-2017_A_31-12-2017.CSV,8760,8760,8588,0,2017-01-01T00:00:00,2017-12-31T23:00:00,70.42684978085688,-9.793363,-47.132732
2018,A050,RIO SONO,N,TO,-9.16,-47.13277777,291.0,2016-08-03,2018/INMET_N_TO_A050_RIO SONO_01-01-2018_A_31-12-2018.CSV,8760,8760,8668,0,2018-01-01T00:00:00,2018-12-31T23:00:00,70.42684978085688,-9.793363,-47.132732
2019,A050,,,TO,-9.793363,-47.132732,291.0,03/08/16,2019/INMET_N_TO_A050_RIO SONO_01-01-2019_A_31-12-2019.CSV,8760,8760,6542,0,2019-01-01T00:00:00,2019-12-31T23:00:00,0.0,-9.793363,-47.132732
2020,A050,RIO SONO,N,TO,-9.793363,-47.132732,291.0,03/08/16,INMET_N_TO_A050_RIO SONO_01-01-2020_A_31-12-2020.CSV,8784,8784,8734,0,2020-01-01T00:00:00,2020-12-31T23:00:00,0.0,-9.793363,-47.132732
2021,A050,RIO SONO,N,TO,-9.793363,-47.132732,291.0,03/08/16,INMET_N_TO_A050_RIO SONO_01-01-2021_A_31-12-2021.CSV,8760,8760,5496,0,2021-01-01T00:00:00,2021-12-31T23:00:00,0.0,-9.793363,-47.132732
2022,A050,RIO SONO,N,TO,-9.793363,-47.132732,291.0,03/08/16,INMET_N_TO_A050_RIO SONO_01-01-2022_A_31-12-2022.CSV,8760,8760,2602,0,2022-01-01T00:00:00,2022-12-31T23:00:00,0.0,-9.793363,-47.132732
2023,A050,RIO SONO,N,TO,-9.793363,-47.132732,291.0,03/08/16,INMET_N_TO_A050_RIO SONO_01-01-2023_A_31-12-2023.CSV,8760,8760,7372,0,2023-01-01T00:00:00,2023-12-31T23:00:00,0.0,-9.793363,-47.132732
2024,A050,RIO SONO,N,TO,-9.793363,-47.132732,291.0,03/08/16,INMET_N_TO_A050_RIO SONO_01-01-2024_A_31-12-2024.CSV,8784,8784,8049,0,2024-01-01T00:00:00,2024-12-31T23:00:00,0.0,-9.793363,-47.132732
2025,A050,RIO SONO,N,TO,-9.793363,-47.132732,291.0,03/08/16,2025/INMET_N_TO_A050_RIO SONO_01-01-2025_A_31-12-2025.CSV,8760,8760,8410,0,2025-01-01T00:00:00,2025-12-31T23:00:00,0.0,-9.793363,-47.132732
2015,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.04638888,-48.18555555,306.0,2015-08-14,2015/INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_14-08-2015_A_31-12-2015.CSV,3360,3360,3249,0,2015-08-14T00:00:00,2015-12-31T23:00:00,42.53216134810872,-11.42888888,-48.18499999
2016,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.04638888,-48.18555555,306.0,2015-08-14,2016/INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2016_A_31-12-2016.CSV,8784,8784,8642,0,2016-01-01T00:00:00,2016-12-31T23:00:00,42.53216134810872,-11.42888888,-48.18499999
2017,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.04638888,-48.18555555,306.0,2015-08-14,2017/INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2017_A_31-12-2017.CSV,8760,8760,7625,0,2017-01-01T00:00:00,2017-12-31T23:00:00,42.53216134810872,-11.42888888,-48.18499999
2018,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.04638888,-48.18555555,306.0,2015-08-14,2018/INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2018_A_31-12-2018.CSV,8760,8760,8096,0,2018-01-01T00:00:00,2018-12-31T23:00:00,42.53216134810872,-11.42888888,-48.18499999
2019,A052,,,TO,-11.429018,-48.184889,306.0,14/08/15,2019/INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2019_A_31-12-2019.CSV,8760,8760,7970,0,2019-01-01T00:00:00,2019-12-31T23:00:00,0.018774216320585485,-11.42888888,-48.18499999
2020,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.429018,-48.184889,306.0,14/08/15,INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2020_A_31-12-2020.CSV,8784,8784,8729,0,2020-01-01T00:00:00,2020-12-31T23:00:00,0.018774216320585485,-11.42888888,-48.18499999
2021,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.42888888,-48.18499999,306.0,14/08/15,INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2021_A_31-12-2021.CSV,8760,8760,6386,0,2021-01-01T00:00:00,2021-12-31T23:00:00,0.0,-11.42888888,-48.18499999
2022,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.42888888,-48.18499999,306.0,14/08/15,INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2022_A_31-12-2022.CSV,8760,8760,6511,0,2022-01-01T00:00:00,2022-12-31T23:00:00,0.0,-11.42888888,-48.18499999
2023,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.42888888,-48.18499999,306.0,14/08/15,INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2023_A_31-12-2023.CSV,8760,8760,7898,0,2023-01-01T00:00:00,2023-12-31T23:00:00,0.0,-11.42888888,-48.18499999
2024,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.42888888,-48.18499999,306.0,14/08/15,INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2024_A_31-12-2024.CSV,8784,8784,8240,0,2024-01-01T00:00:00,2024-12-31T23:00:00,0.0,-11.42888888,-48.18499999
2025,A052,SANTA ROSA DO TOCANTINS,N,TO,-11.42888888,-48.18499999,306.0,14/08/15,2025/INMET_N_TO_A052_SANTA ROSA DO TOCANTINS_01-01-2025_A_31-12-2025.CSV,8760,8760,7865,0,2025-01-01T00:00:00,2025-12-31T23:00:00,0.0,-11.42888888,-48.18499999
2008,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2008/INMET_N_AC_A104_RIO BRANCO_11-07-2008_A_31-12-2008.CSV,4176,4176,3578,0,2008-07-11T00:00:00,2008-12-31T23:00:00,0.0,-9.95777777,-68.165
2009,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2009/INMET_N_AC_A104_RIO BRANCO_01-01-2009_A_31-12-2009.CSV,8760,8760,8737,0,2009-01-01T00:00:00,2009-12-31T23:00:00,0.0,-9.95777777,-68.165
2010,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2010/INMET_N_AC_A104_RIO BRANCO_01-01-2010_A_31-12-2010.CSV,8760,8760,8750,0,2010-01-01T00:00:00,2010-12-31T23:00:00,0.0,-9.95777777,-68.165
2011,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2011/INMET_N_AC_A104_RIO BRANCO_01-01-2011_A_31-12-2011.CSV,8760,8760,8750,0,2011-01-01T00:00:00,2011-12-31T23:00:00,0.0,-9.95777777,-68.165
2012,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2012/INMET_N_AC_A104_RIO BRANCO_01-01-2012_A_31-12-2012.CSV,8784,8784,8778,0,2012-01-01T00:00:00,2012-12-31T23:00:00,0.0,-9.95777777,-68.165
2013,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2013/INMET_N_AC_A104_RIO BRANCO_01-01-2013_A_31-12-2013.CSV,8760,8760,8628,0,2013-01-01T00:00:00,2013-12-31T23:00:00,0.0,-9.95777777,-68.165
2014,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2014/INMET_N_AC_A104_RIO BRANCO_01-01-2014_A_31-12-2014.CSV,8760,8760,3908,0,2014-01-01T00:00:00,2014-12-31T23:00:00,0.0,-9.95777777,-68.165
2015,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2015/INMET_N_AC_A104_RIO BRANCO_01-01-2015_A_31-12-2015.CSV,8760,8760,3703,0,2015-01-01T00:00:00,2015-12-31T23:00:00,0.0,-9.95777777,-68.165
2016,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2016/INMET_N_AC_A104_RIO BRANCO_01-01-2016_A_31-12-2016.CSV,8784,8784,4117,0,2016-01-01T00:00:00,2016-12-31T23:00:00,0.0,-9.95777777,-68.165
2017,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2017/INMET_N_AC_A104_RIO BRANCO_01-01-2017_A_31-12-2017.CSV,8760,8760,5256,0,2017-01-01T00:00:00,2017-12-31T23:00:00,0.0,-9.95777777,-68.165
2018,A104,RIO BRANCO,N,AC,-9.95777777,-68.165,220.0,2008-07-11,2018/INMET_N_AC_A104_RIO BRANCO_01-01-2018_A_31-12-2018.CSV,8760,8760,1861,0,2018-01-01T00:00:00,2018-12-31T23:00:00,0.0,-9.95777777,-68.165
2019,A104,,,AC,-9.957844,-68.165169,223.52,11/07/08,2019/INMET_N_AC_A104_RIO BRANCO_01-01-2019_A_31-12-2019.CSV,8760,8760,4636,0,2019-01-01T00:00:00,2019-12-31T23:00:00,0.019920179409848783,-9.95777777,-68.165
2020,A104,RIO BRANCO,N,AC,-9.95777777,-68.16527777,223.52,11/07/08,INMET_N_AC_A104_RIO BRANCO_01-01-2020_A_31-12-2020.CSV,8784,8784,1715,0,2020-01-01T00:00:00,2020-12-31T23:00:00,0.03042136383760325,-9.95777777,-68.165
2021,A104,RIO BRANCO,N,AC,-9.67972221,-68.16527777,163.0,11/07/08,INMET_N_AC_A104_RIO BRANCO_01-01-2021_A_31-12-2021.CSV,8760,8760,0,0,2021-01-01T00:00:00,2021-12-31T23:00:00,30.918425282364357,-9.95777777,-68.165
2022,A104,RIO BRANCO,N,AC,-9.67972221,-68.16527777,163.0,11/07/08,INMET_N_AC_A104_RIO BRANCO_01-01-2022_A_31-12-2022.CSV,8760,8760,2474,0,2022-01-01T00:00:00,2022-12-31T23:00:00,30.918425282364357,-9.95777777,-68.165
2023,A104,RIO BRANCO,N,AC,-9.67972221,-68.16527777,163.0,11/07/08,INMET_N_AC_A104_RIO BRANCO_01-01-2023_A_31-12-2023.CSV,8760,8760,8726,0,2023-01-01T00:00:00,2023-12-31T23:00:00,30.918425282364357,-9.95777777,-68.165
2024,A104,RIO BRANCO,N,AC,-9.95920402,-67.86898266,163.0,11/07/08,INMET_N_AC_A104_RIO BRANCO_01-01-2024_A_31-12-2024.CSV,8784,8784,8763,0,2024-01-01T00:00:00,2024-12-31T23:00:00,32.420128059047016,-9.95777777,-68.165
2025,A104,RIO BRANCO,N,AC,-9.95920402,-67.86898266,163.0,11/07/08,2025/INMET_N_AC_A104_RIO BRANCO_01-01-2025_A_31-12-2025.CSV,8760,8760,8733,0,2025-01-01T00:00:00,2025-12-31T23:00:00,32.420128059047016,-9.95777777,-68.165
2015,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.405,220.0,2015-05-14,2015/INMET_N_AC_A108_CRUZEIRO DO SUL_14-05-2015_A_31-12-2015.CSV,5568,5568,5525,0,2015-05-14T00:00:00,2015-12-31T23:00:00,30.431744607080052,-7.61055555,-72.6811111
2016,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.405,220.0,2015-05-14,2016/INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2016_A_31-12-2016.CSV,8784,8784,8774,0,2016-01-01T00:00:00,2016-12-31T23:00:00,30.431744607080052,-7.61055555,-72.6811111
2017,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.405,220.0,2015-05-14,2017/INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2017_A_31-12-2017.CSV,8760,8760,5575,0,2017-01-01T00:00:00,2017-12-31T23:00:00,30.431744607080052,-7.61055555,-72.6811111
2018,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.405,220.0,2015-05-14,2018/INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2018_A_31-12-2018.CSV,8760,8760,8453,0,2018-01-01T00:00:00,2018-12-31T23:00:00,30.431744607080052,-7.61055555,-72.6811111
2019,A108,,,AC,-7.610773,-72.681333,220.0,14/05/15,2019/INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2019_A_31-12-2019.CSV,8760,8760,8362,0,2019-01-01T00:00:00,2019-12-31T23:00:00,0.034391547353615486,-7.61055555,-72.6811111
2020,A108,CRUZEIRO DO SUL,N,AC,-7.61083333,-72.68138888,220.0,14/05/15,INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2020_A_31-12-2020.CSV,8784,8784,4259,0,2020-01-01T00:00:00,2020-12-31T23:00:00,0.043489927472772076,-7.61055555,-72.6811111
2021,A108,CRUZEIRO DO SUL,N,AC,-7.61083333,-72.68138888,220.0,14/05/15,INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2021_A_31-12-2021.CSV,8760,8760,0,0,2021-01-01T00:00:00,2021-12-31T23:00:00,0.043489927472772076,-7.61055555,-72.6811111
2022,A108,CRUZEIRO DO SUL,N,AC,-7.61083333,-72.68138888,220.0,14/05/15,INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2022_A_31-12-2022.CSV,8760,8760,0,0,2022-01-01T00:00:00,2022-12-31T23:00:00,0.043489927472772076,-7.61055555,-72.6811111
2023,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.6811111,220.0,14/05/15,INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2023_A_31-12-2023.CSV,8760,8760,427,0,2023-01-01T00:00:00,2023-12-31T23:00:00,0.0,-7.61055555,-72.6811111
2024,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.6811111,220.0,14/05/15,INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2024_A_31-12-2024.CSV,8784,8784,5191,0,2024-01-01T00:00:00,2024-12-31T23:00:00,0.0,-7.61055555,-72.6811111
2025,A108,CRUZEIRO DO SUL,N,AC,-7.61055555,-72.6811111,220.0,14/05/15,2025/INMET_N_AC_A108_CRUZEIRO DO SUL_01-01-2025_A_31-12-2025.CSV,8760,8760,6533,0,2025-01-01T00:00:00,2025-12-31T23:00:00,0.0,-7.61055555,-72.6811111
2008,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2008/INMET_N_AM_A111_LABREA_27-07-2008_A_31-12-2008.CSV,3792,3792,3539,0,2008-07-27T00:00:00,2008-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2009,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2009/INMET_N_AM_A111_LABREA_01-01-2009_A_31-12-2009.CSV,8760,8760,7385,0,2009-01-01T00:00:00,2009-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2010,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2010/INMET_N_AM_A111_LABREA_01-01-2010_A_31-12-2010.CSV,8760,8760,7771,0,2010-01-01T00:00:00,2010-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2011,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2011/INMET_N_AM_A111_LABREA_01-01-2011_A_31-12-2011.CSV,8760,8760,8623,0,2011-01-01T00:00:00,2011-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2012,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2012/INMET_N_AM_A111_LABREA_01-01-2012_A_31-12-2012.CSV,8784,8784,6347,0,2012-01-01T00:00:00,2012-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2013,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2013/INMET_N_AM_A111_LABREA_01-01-2013_A_31-12-2013.CSV,8760,8760,8746,0,2013-01-01T00:00:00,2013-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2014,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2014/INMET_N_AM_A111_LABREA_01-01-2014_A_31-12-2014.CSV,8760,8760,8613,0,2014-01-01T00:00:00,2014-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2015,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2015/INMET_N_AM_A111_LABREA_01-01-2015_A_31-12-2015.CSV,8760,8760,5982,0,2015-01-01T00:00:00,2015-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2016,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2016/INMET_N_AM_A111_LABREA_01-01-2016_A_31-12-2016.CSV,8784,8784,8782,0,2016-01-01T00:00:00,2016-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2017,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2017/INMET_N_AM_A111_LABREA_01-01-2017_A_31-12-2017.CSV,8760,8760,8479,0,2017-01-01T00:00:00,2017-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2018,A111,LABREA,N,AM,-7.43527777,-64.7886111,64.0,2008-07-27,2018/INMET_N_AM_A111_LABREA_01-01-2018_A_31-12-2018.CSV,8760,8760,1807,0,2018-01-01T00:00:00,2018-12-31T23:00:00,0.0,-7.43527777,-64.7886111
2019,A111,,,AM,-7.260681,-64.788501,61.91,27/07/08,2019/INMET_N_AM_A111_LABREA_01-01-2019_A_31-12-2019.CSV,8760,8760,2879,0,2019-01-01T00:00:00,2019-12-31T23:00:00,19.414305645582132,-7.43527777,-64.7886111
2020,A111,LABREA,N,AM,-7.26055555,-64.7886111,61.91,27/07/08,INMET_N_AM_A111_LABREA_01-01-2020_A_31-12-2020.CSV,8784,8784,8777,0,2020-01-01T00:00:00,2020-12-31T23:00:00,19.42825127148091,-7.43527777,-64.7886111
2021,A111,LABREA,N,AM,-7.26055555,-64.7886111,61.91,27/07/08,INMET_N_AM_A111_LABREA_01-01-2021_A_31-12-2021.CSV,8760,8760,8669,0,2021-01-01T00:00:00,2021-12-31T23:00:00,19.42825127148091,-7.43527777,-64.7886111
2022,A111,LABREA,N,AM,-7.26055555,-64.7886111,61.91,27/07/08,INMET_N_AM_A111_LABREA_01-01-2022_A_31-12-2022.CSV,8760,8760,7374,0,2022-01-01T00:00:00,2022-12-31T23:00:00,19.42825127148091,-7.43527777,-64.7886111
2023,A111,LABREA,N,AM,-7.26055555,-64.7886111,61.91,27/07/08,INMET_N_AM_A111_LABREA_01-01-2023_A_31-12-2023.CSV,8760,8760,8672,0,2023-01-01T00:00:00,2023-12-31T23:00:00,19.42825127148091,-7.43527777,-64.7886111
2024,A111,LABREA,N,AM,-7.26055555,-64.7886111,61.91,27/07/08,INMET_N_AM_A111_LABREA_01-01-2024_A_31-12-2024.CSV,8784,8784,5213,0,2024-01-01T00:00:00,2024-12-31T23:00:00,19.42825127148091,-7.43527777,-64.7886111
2025,A111,LABREA,N,AM,-7.26055555,-64.7886111,61.91,27/07/08,2025/INMET_N_AM_A111_LABREA_01-01-2025_A_31-12-2025.CSV,8760,8760,823,0,2025-01-01T00:00:00,2025-12-31T23:00:00,19.42825127148091,-7.43527777,-64.7886111
