rede,variavel,n_estacoes,sen_mediana_c_decada,sen_media_c_decada,sen_p25_c_decada,sen_p75_c_decada,n_slope_positivo,n_slope_negativo,n_slope_zero,pct_slope_positivo,n_significativo_p05,pct_significativo_p05,n_significativo_fdr05,pct_significativo_fdr05,n_crescente_fdr05,n_decrescente_fdr05,n_autocorr_abs_ge_03
principal_15a,tmax_inmet,45,0.8749985694885254,0.8417774475970068,0.44444190131293404,1.3333352406819663,40,4,1,88.88888888888889,12,26.666666666666668,0,0.0,0,0,14
principal_15a,tmax_era5,45,0.903063322368421,0.9364368807212718,0.45200892857142855,1.2365964253743489,45,0,0,100.0,9,20.0,0,0.0,0,0,13
principal_15a,delta_tmax,45,0.031476338704427086,0.03512588805071179,-0.3785371780395508,0.2235126495361328,24,21,0,53.333333333333336,7,15.555555555555555,0,0.0,0,0,15
sensibilidade_10a,tmax_inmet,214,0.8333333333333333,0.8563266909677216,0.4029395720537971,1.333334763844808,182,26,6,85.04672897196262,34,15.88785046728972,0,0.0,0,0,88
sensibilidade_10a,tmax_era5,214,0.7386783119681832,0.8486995365742053,0.3802706514086042,1.2198465892246793,197,17,0,92.05607476635514,32,14.953271028037383,0,0.0,0,0,93
sensibilidade_10a,delta_tmax,214,0.03822580973307292,-0.005028693050116438,-0.3896200656890869,0.3691959778467814,116,98,0,54.205607476635514,25,11.682242990654206,0,0.0,0,0,81
