rede,variavel,n_estacoes,n_anos_mediana,sen_mediana_c_decada,sen_media_c_decada,rho1_mediana,fator_correcao_mediano,n_classico_p05,n_modificado_p05,n_modificado_fdr05,n_mudou_significancia,n_slope_positivo,n_slope_negativo,pct_classico_p05,pct_modificado_p05,pct_modificado_fdr05
principal_consecutiva_15a,delta_tmax,9,17.0,-0.03441810607910156,-0.13253086697794889,-0.08109504132231404,1.0,2,2,1,0,4,5,22.22222222222222,22.22222222222222,11.11111111111111
principal_consecutiva_15a,tmax_era5,9,17.0,1.2786865234375,1.2617590986652139,-0.13481404958677687,1.0,4,4,1,0,9,0,44.44444444444444,44.44444444444444,11.11111111111111
principal_consecutiva_15a,tmax_inmet,9,17.0,1.3333333333333333,1.291870660309381,-0.17401960784313725,1.0,4,4,3,0,8,0,44.44444444444444,44.44444444444444,33.33333333333333
sensibilidade_consecutiva_10a,delta_tmax,27,11.0,0.06058999470302037,0.10693745341827332,-0.18902439024390244,1.0,6,6,1,0,16,11,22.22222222222222,22.22222222222222,3.7037037037037033
sensibilidade_consecutiva_10a,tmax_era5,27,11.0,1.2786865234375,1.22114418311234,-0.1346153846153846,1.0,4,4,0,0,24,3,14.814814814814813,14.814814814814813,0.0
sensibilidade_consecutiva_10a,tmax_inmet,27,11.0,1.2363666187633169,0.8890755655718064,-0.1141552511415525,1.0,4,4,0,0,23,3,14.814814814814813,14.814814814814813,0.0
