codigo,estacao,uf,regiao,latitude,longitude,altitude_m,ano_inicio,ano_fim,anos_presentes,anos_cobertura_80,anos_cobertura_90,cobertura_mediana,observacoes_validas,deslocamento_max_coord_km,coordenada_suspeita,dentro_dominio_era5
A744,BRAGANCA PAULISTA,SP,SE,-22.951944,-46.53055554,891.0,2017,2025,9,8,6,0.967896174863388,64856,111.19819402231212,True,True
A760,COSTA RICA,MS,CO,-18.65777777,-53.219305545,728.6700000000001,2012,2025,14,12,12,0.9976598173515981,108804,19.04531000762305,True,True
A761,SONORA,MS,CO,-17.765833325,-54.607083329999995,490.625,2012,2025,14,13,10,0.9764269406392694,101398,21.79568672133029,True,True
A802,RIO GRANDE,RS,S,-32.03333333,-52.1,2.46,2001,2025,25,22,15,0.9404109589041096,189047,8.152257012951972,True,True
A804,SANTANA DO LIVRAMENTO,RS,S,-30.84249999,-55.61277777,196.0,2001,2025,25,17,13,0.9133561643835616,165874,22.631809085923873,True,True
A850,PARANAPOEMA,PR,S,-22.49166666,-52.13444444,311.0,2008,2025,18,11,10,0.9544115078473938,123259,18.532513742905817,True,True
A872,VENTANIA,PR,S,-24.23833333,-50.24555555,1106.0,2011,2025,15,10,7,0.8512557077625571,100148,5.895476300781698,True,True
A886,TUPANCIRETA,RS,S,-29.08944444,-53.82666666,462.0,2016,2025,10,10,9,0.9966100680141776,79898,89.45026404921933,True,True
A895,CHAPECO,SC,S,-27.0853111,-52.6357111,679.0,2019,2025,7,6,6,0.9803652968036529,53870,96.73601488726676,True,True
A901,CUIABA,MT,CO,-15.55916666,-56.72944443,240.0,2002,2025,24,18,13,0.9179794520547946,177496,71.81020675158352,True,True
A911,SAPEZAL,MT,CO,-13.30388888,-58.76333333,105.0,2017,2025,9,5,4,0.8394808743169399,53105,356.8779305719894,True,True
A912,CAMPO VERDE,MT,CO,-15.52749999,-55.13555555,749.0,2006,2025,20,17,10,0.8942409299598273,146819,5.85564599918187,True,True
A924,ALTA FLORESTA,MT,CO,-9.84944444,-56.1,289.0,2007,2025,19,9,6,0.7628995433789955,109249,26.77676480067433,True,True
A925,PORTO VELHO,RO,N,-8.76388888,-63.47499999,98.0,2007,2025,19,9,5,0.7884703196347032,113422,40.896726421473595,True,True
A926,CARLINDA,MT,CO,-10.00527777,-55.79055555,306.0,2008,2025,18,13,10,0.925724230855603,116491,5.593495419580957,True,True
A927,BRASNORTE (MUNDO NOVO),MT,CO,-12.87194443,-58.38722221,431.0,2008,2025,18,9,7,0.811244292237443,107716,42.430911202056386,True,True
A928,NOVA MARINGA,MT,CO,-13.06555555,-57.15611111,353.0,2008,2025,18,14,10,0.9748895875439778,131393,7.542045248854603,True,True
A929,NOVA UBIRATA,MT,CO,-13.68638888,-54.95611111,518.0,2008,2025,18,10,7,0.8150730156947876,107260,37.719050918575505,True,True
A933,ITIQUIRA,MT,CO,-17.29722221,-54.83722221,585.0,2008,2025,18,11,8,0.8843607305936072,110591,38.140025722573974,True,True
A935,PORTO ESTRELA,MT,CO,-15.54638888,-57.38166666,145.0,2008,2025,18,10,8,0.8213666816378471,113197,29.774519466611512,True,True
C891,CRIOSFERA,SP,SE,-84.0,-79.49416666,1285.0,2020,2020,1,1,0,0.8216074681238615,7217,0.0,False,False
