ano_inicial,ano_final,duracao_anos,n_estacoes_painel_fixo
2000,2025,26,0
2001,2025,25,2
2002,2025,24,3
2003,2025,23,3
2004,2025,22,3
2005,2025,21,5
2006,2025,20,8
2007,2025,19,20
2008,2025,18,36
2009,2025,17,43
2010,2025,16,46
2011,2025,15,50
2012,2025,14,52
2013,2025,13,55
2014,2025,12,59
2015,2025,11,62
2016,2025,10,66
