codigo,estacao,uf,anos_total,anos_desempenho_extremo,bias_mediano_c,rmse_mediano_c,correlacao_mediana,bias_min_c,bias_max_c,rmse_max_c,pct_anos_desempenho_extremo,comportamento_persistente
A001,BRASILIA,DF,26,0,-0.11593779841806151,1.331293635078306,0.9378639832481799,-0.30505011219578726,0.22011293763703463,1.433327807511921,0.0,False
A002,GOIANIA,GO,25,0,-0.6492037631203316,2.0631982970241056,0.9359499036402078,-1.8519022907532239,-0.17146942212195293,2.841345051962994,0.0,False
A003,MORRINHOS,GO,24,0,0.33345187307362517,1.8823039668501134,0.940128967341118,-0.27523011954879056,0.8667593265647316,2.215073849037822,0.0,False
A005,PORANGATU,GO,8,0,-0.6606096444906678,1.924059215926265,0.9235210830359659,-0.916020539315688,-0.21537204451792016,2.0535673683357847,0.0,False
A009,PALMAS,TO,22,0,-1.4507442056760191,2.392563544245527,0.8889822610625452,-1.9413593835154332,-0.858623577647807,2.685143822118285,0.0,False
A010,PARANA,TO,21,0,-0.24519619908314064,2.213113583152394,0.9338219064023386,-1.010749063953195,0.4716174303136538,2.4123988797857345,0.0,False
A011,SAO SIMAO,GO,20,0,-0.053155250518725085,1.7774308189340637,0.9353568570501724,-0.6274933867951585,0.397810069539432,1.9587180303880278,0.0,False
A012,LUZIANIA,GO,20,0,-0.3992439780192307,1.590855072924341,0.9310785541991466,-0.8746347848023884,-0.16090538752705555,1.8058572088281455,0.0,False
A013,ARAGARCAS,GO,19,0,-0.7239917739420857,2.144849971190361,0.924824340852902,-1.776985576604813,-0.3789025509794875,2.646822627692618,0.0,False
A014,GOIAS,GO,19,0,-1.0224661013763288,2.221628083350037,0.9134607202297909,-1.3183361456495204,-0.7527038137735566,3.386197406215507,0.0,False
A015,ITAPACI,GO,19,0,0.24399582283070784,2.168816023011976,0.9225102041269246,-0.6383193048687668,0.6919248831610227,2.505690559569225,0.0,False
A016,JATAI,GO,19,0,-0.5362016956621287,2.147323369990099,0.937067477893417,-0.8562207518142689,-0.3467804746978808,3.417068739688486,0.0,False
A017,POSSE,GO,19,0,-1.3937406541226693,2.0393562560305205,0.9313158863070363,-1.7665714774243846,-1.3043666075670142,2.257973423900318,0.0,False
A018,PEIXE,TO,20,0,0.022968875388879352,1.9011670213104588,0.927888247374937,-0.5283997114007563,0.34774494335620043,2.1043008943489974,0.0,False
A019,GURUPI,TO,19,0,0.4409650312084471,2.43899242237875,0.8990031544948894,-0.7384926836625431,0.5959192374860045,2.8271304508182915,0.0,False
A020,PEDRO AFONSO,TO,19,0,-0.22690501550070602,1.9602667781659493,0.918864636929182,-1.3677542289806595,0.028093283622661253,2.251054020533955,0.0,False
A021,ARAGUAINA,TO,19,0,0.452071666092944,2.2772410209929914,0.8980095762139213,-0.3752137962382183,0.7177319863223394,2.458590984419137,0.0,False
A022,GOIANESIA,GO,19,0,-0.4591475245148662,1.547071018435187,0.9394836628183988,-0.8400218605748875,-0.19859818744327393,1.7338837762727555,0.0,False
A023,CAIAPONIA,GO,19,0,-0.7462565190445675,1.8415499753945777,0.9299593115726859,-1.2774556603671559,-0.37601451744372866,2.1724514092066984,0.0,False
A024,ALTO PARAISO DE GOIAS,GO,19,0,1.1192351583719347,1.9636093955099627,0.9157644661983162,0.9317628669130179,1.4927791535637573,2.181536147460902,0.0,False
A025,RIO VERDE,GO,19,0,-0.45507603461138935,1.788832979777342,0.9308059776039522,-1.2111099661061806,-0.20257841989943515,1.9785140965747148,0.0,False
A026,MINEIROS,GO,19,0,-0.3180007685563661,2.288227098201705,0.9339476577769606,-2.2732124805450438,0.17364526004245975,4.113114869152383,0.0,False
A027,PARAUNA,GO,18,0,-0.8313916148802418,1.7599179523340491,0.9377640211340728,-1.4425184264502315,-0.4893337997179835,2.3630683928170733,0.0,False
A028,IPORA,GO,13,0,-0.20733741636968883,1.6739804906889828,0.9332891312592623,-0.8341312312124752,0.0017401595236407011,1.8252294887215061,0.0,False
A029,EDEIA,GO,9,0,-0.6667278062589189,1.8541939418840985,0.9366823365823899,-0.9810218295683896,-0.018982459128971174,1.9599982287529298,0.0,False
A031,SAO MIGUEL DO ARAGUAIA,GO,9,0,-0.09172785426048168,1.8859315547418896,0.9351388306323815,-1.2391705376720914,0.7311236376201758,2.3958594522043457,0.0,False
A032,MONTE ALEGRE DE GOIAS,GO,19,0,-0.9905125890907043,2.041317162432239,0.9068397833420068,-1.6634384267648414,-0.7267207866177371,2.311638545981566,0.0,False
A033,PIRES DO RIO,GO,19,0,-0.61710277612651,1.8212123103370417,0.9491966351599664,-1.0946332674165025,-0.40975517054831867,2.093109880192736,0.0,False
A034,CATALAO,GO,18,0,-0.06554585532259445,1.5444001570145083,0.9307548956030356,-0.3174838930384413,0.054626891870782145,1.824715648653889,0.0,False
A035,ITUMBIARA,GO,19,0,0.07660220593710602,1.8247885685532477,0.9393021301239073,-0.3928726556091505,0.46168290754018815,1.950844962665918,0.0,False
A036,CRISTALINA,GO,19,0,0.6691473379362439,1.684040102044141,0.9248921999395869,0.2295373784782778,0.9049389047518781,1.9548987033117,0.0,False
A037,SILVANIA,GO,16,0,-0.03187613622754047,1.4346648461237819,0.950502821694283,-0.29921083622393263,0.23353073745386574,1.7133969750700024,0.0,False
A038,DIANOPOLIS,TO,18,0,-0.3290923165424853,1.6735998721867722,0.9082212655569135,-0.630146789400868,0.28987520964901375,1.868432972611331,0.0,False
A039,FORMOSO DO ARAGUAIA,TO,18,0,-0.2463382337464997,1.8691894807616014,0.926463611582003,-0.8317916113873636,0.21937117762743627,2.041610058282807,0.0,False
A040,MATEIROS,TO,13,0,-0.10157866738673445,1.7667247961785018,0.9314933579902193,-0.35451426307901496,0.09953194285603534,1.9389534809351616,0.0,False
A041,MARIANOPOLIS DO TO,TO,14,0,0.22877116238805364,2.191138225529562,0.919155290682022,-2.186330480956188,0.5690290667538901,2.3917255203518857,0.0,False
A042,BRAZLANDIA,DF,9,0,0.6977812953510967,1.727626653924634,0.9274759756021482,0.43932383031204114,1.32033099762234,2.045541983597984,0.0,False
A043,CAMPOS LINDOS,TO,11,0,0.09325274122404091,1.710837761895545,0.9203202648535967,-0.9205651952580985,0.2614694275362536,1.7598039259622167,0.0,False
A044,ARAGUATINS,TO,16,0,-0.8760676248330456,1.7228879523051923,0.9333258437277747,-1.0583607986609844,-0.5194258133300969,1.821435745256874,0.0,False
A045,AGUAS EMENDADAS,DF,18,0,0.2174854158146183,2.0708914681173125,0.9161052927464566,-0.14201543615483675,0.5934034844603522,2.3142626534527073,0.0,False
A046,GAMA (PONTE ALTA),DF,12,0,-0.5781254407264134,1.720553327809029,0.9351075025450377,-0.8833326910782203,-0.11007908771395365,1.7893720711505823,0.0,False
A047,PARANOA (COOPA-DF),DF,9,0,0.21967188269730462,1.4012806907258013,0.9478892710092882,-0.026949675328412668,0.5346483318738934,1.536775919161678,0.0,False
A048,SANTA FE DO ARAGUAIA,TO,10,0,0.060723730261886016,1.8356520705773338,0.9189978961175627,-0.6870850032995022,0.44156461169169114,1.982805067602485,0.0,False
A049,COLINAS DO TOCANTINS,TO,7,0,-0.3039853097271561,2.006539177942905,0.9141465760155673,-0.4532170337495404,-0.046158959598101325,2.12321778761928,0.0,False
A050,RIO SONO,TO,10,0,0.14834793167023322,2.2871729606100644,0.9070728493115742,-1.4139070787633856,0.6067979817823703,2.562424474407061,0.0,False
A051,PIUM,TO,9,0,0.9703936370176065,2.7740619576505914,0.8812455342530303,-0.2416963015528165,1.3868094505419808,3.2324781496071116,0.0,False
A052,SANTA ROSA DO TOCANTINS,TO,11,0,0.19301835163557862,2.0849923197167395,0.9305373770327877,-0.13420241301875416,0.9595758634284337,2.3320901162452103,0.0,False
A053,ALMAS,TO,10,0,-0.2522015831995773,1.9078290340961415,0.9132899671048242,-0.7766058631072839,0.27772418028355345,3.008404095579912,0.0,False
A054,ARAGUACU,TO,11,0,0.1649132634497772,2.25334231389675,0.9295736795827622,-0.3216353160348323,0.787258213944751,2.6844190147378297,0.0,False
A055,LAGOA DA CONFUSAO,TO,10,0,1.0699985954235056,2.704496777882808,0.8951341874066645,0.5361081084095329,1.3907794649885323,3.139096846560745,0.0,False
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,8,0,0.6353189795914638,1.7013908657607615,0.9562599939836481,0.35337891825478623,0.925403109726917,1.8528744241148964,0.0,False
A101,MANAUS,AM,26,0,-1.4371868482990986,2.0561563326964283,0.8712734996963911,-2.2228624637812313,-0.8760752448197703,2.674374191883181,0.0,False
A102,PARQUE ESTADUAL CHANDLESS,AC,15,0,0.036063298117320536,2.1821676824660927,0.8778065946050939,-0.6843959174687672,0.1981599314295974,2.640171222719929,0.0,False
A104,RIO BRANCO,AC,17,0,-0.3114810295112751,1.6751705796219494,0.9070235320424531,-0.6828694480718399,-0.01496028296287005,1.8319327372767105,0.0,False
A108,CRUZEIRO DO SUL,AC,9,0,-0.4106896049096875,1.7746334425704375,0.8755893206552827,-1.8067241219004815,-0.11890161180093364,3.9385281440512987,0.0,False
A109,EIRUNEPE,AM,8,0,-0.32763382813079145,1.8726554091974494,0.8646998752335877,-0.5571061412529389,-0.2569869886125259,1.9261644928780257,0.0,False
A110,BOCA DO ACRE,AM,17,0,-0.6728768946175254,2.024735916192006,0.8907416584807791,-2.0913135969426992,-0.18502796585941,2.7997763829719386,0.0,False
A111,LABREA,AM,18,0,-0.6479262238454804,1.905557248738814,0.8765199387299448,-1.8963733429684344,-0.2487398561310101,2.6874785299407016,0.0,False
A112,HUMAITA,AM,17,0,-0.30875965592308974,2.444735058698309,0.8248702820313919,-0.8588159240153488,0.6249084109064483,2.69698651690702,0.0,False
A113,APUI,AM,16,0,-0.26710052254338446,2.147525580519673,0.856144688388478,-0.8551170692677784,0.9800041297668282,2.4877313233675094,0.0,False
A117,COARI,AM,18,0,-0.5817802399324243,2.2721484134148104,0.7879608898293404,-2.9790374610735024,-0.2410256001286311,3.1297116793956596,0.0,False
A119,MANACAPURU,AM,18,0,-0.6934150357207128,1.9250820198778567,0.8291000756155786,-1.0262297680867147,0.041025580465060246,2.047096221798088,0.0,False
A120,AUTAZES,AM,17,0,-1.3110787688886194,2.21635380361124,0.8582440253540694,-1.7411376781153616,-0.12865313863896954,2.5826990557525256,0.0,False
