rede,nome_rede,metodo,variavel,n_estacoes,sen_mediana_c_decada,sen_media_c_decada,sen_p25_c_decada,sen_p75_c_decada,n_slope_positivo,n_slope_negativo,n_slope_zero,pct_slope_positivo,n_p05,pct_p05,n_fdr05,pct_fdr05
principal_15a,>=15 anos válidos,MK clássico,delta_tmax,45,0.031476338704427086,0.03512588805071179,-0.3785371780395508,0.2235126495361328,24,21,0,53.333333333333336,7,15.555555555555555,0,0.0
principal_15a,>=15 anos válidos,MK clássico,tmax_era5,45,0.903063322368421,0.9364368807212718,0.45200892857142855,1.2365964253743489,45,0,0,100.0,9,20.0,0,0.0
principal_15a,>=15 anos válidos,MK clássico,tmax_inmet,45,0.8749985694885254,0.8417774475970068,0.44444190131293404,1.3333352406819663,40,4,1,88.88888888888889,12,26.666666666666668,0,0.0
sensibilidade_10a,>=10 anos válidos,MK clássico,delta_tmax,214,0.03822580973307292,-0.005028693050116438,-0.3896200656890869,0.3691959778467814,116,98,0,54.20560747663551,25,11.682242990654206,0,0.0
sensibilidade_10a,>=10 anos válidos,MK clássico,tmax_era5,214,0.7386783119681832,0.8486995365742053,0.3802706514086042,1.2198465892246793,197,17,0,92.05607476635514,32,14.953271028037381,0,0.0
sensibilidade_10a,>=10 anos válidos,MK clássico,tmax_inmet,214,0.8333333333333333,0.8563266909677216,0.4029395720537971,1.333334763844808,182,26,6,85.04672897196261,34,15.887850467289718,0,0.0
principal_consecutiva_15a,>=15 anos consecutivos,Hamed-Rao,delta_tmax,9,-0.03441810607910156,-0.13253086697794886,-0.5782737731933594,0.36368370056152344,4,5,0,44.44444444444444,2,22.22222222222222,1,11.11111111111111
principal_consecutiva_15a,>=15 anos consecutivos,Hamed-Rao,tmax_era5,9,1.2786865234375,1.2617590986652139,0.6863043043348525,1.613006591796875,9,0,0,100.0,4,44.44444444444444,1,11.11111111111111
principal_consecutiva_15a,>=15 anos consecutivos,Hamed-Rao,tmax_inmet,9,1.3333333333333333,1.291870660309381,1.2857164655412947,1.366663614908854,8,0,1,88.88888888888889,4,44.44444444444444,3,33.33333333333333
sensibilidade_consecutiva_10a,>=10 anos consecutivos,Hamed-Rao,delta_tmax,27,0.06058999470302037,0.10693745341827332,-0.5019279888698033,0.6470076854412372,16,11,0,59.25925925925925,6,22.22222222222222,1,3.7037037037037033
sensibilidade_consecutiva_10a,>=10 anos consecutivos,Hamed-Rao,tmax_era5,27,1.2786865234375,1.2211441831123404,0.6760565439860027,1.6719818115234375,24,3,0,88.88888888888889,4,14.814814814814813,0,0.0
sensibilidade_consecutiva_10a,>=10 anos consecutivos,Hamed-Rao,tmax_inmet,27,1.2363666187633169,0.8890755655718064,0.4375004768371582,1.4141008915045323,23,3,1,85.18518518518519,4,14.814814814814813,0,0.0
