codigo,variavel,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,sen_06i_segmento_c_decada,sen_06g_c_decada,rede_06g,rede_06i,delta_sen_06i_menos_06g,abs_delta_sen,mesmo_sinal_sen
A045,delta_tmax,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,-0.7740473747253418,-0.7740473747253418,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A046,delta_tmax,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,-1.56005859375,-1.56005859375,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A101,delta_tmax,MANAUS,AM,Norte,15,2011,2025,1.1102973090277777,1.3182566716120792,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.20795936258430148,0.20795936258430148,True
A408,delta_tmax,ITABERABA,BA,Nordeste,12,2012,2023,-0.4642343521118164,-0.5425665928767277,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0783322407649113,0.0783322407649113,True
A409,delta_tmax,ARACAJU,SE,Nordeste,10,2011,2020,1.2647724151611328,0.13954925537109375,sensibilidade_10a,sensibilidade_consecutiva_10a,1.125223159790039,1.125223159790039,True
A430,delta_tmax,PIATA,BA,Nordeste,12,2009,2020,0.06058999470302037,-0.07951100667317709,sensibilidade_10a,sensibilidade_consecutiva_10a,0.14010100137619746,0.14010100137619746,False
A502,delta_tmax,BARBACENA,MG,Sudeste,10,2013,2022,-0.5396216256277901,0.19208908081054688,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.731710706438337,0.731710706438337,False
A506,delta_tmax,MONTES CLAROS,MG,Sudeste,10,2016,2025,0.7335805892944336,-0.2918985154893663,sensibilidade_10a,sensibilidade_consecutiva_10a,1.0254791047837999,1.0254791047837999,False
A507,delta_tmax,UBERLANDIA,MG,Sudeste,17,2009,2025,0.22228326116289412,0.16911824544270831,sensibilidade_10a,sensibilidade_consecutiva_10a,0.05316501572018581,0.05316501572018581,True
A509,delta_tmax,MONTE VERDE,MG,Sudeste,10,2016,2025,1.0481452941894531,0.18045152936662948,sensibilidade_10a,sensibilidade_consecutiva_10a,0.8676937648228237,0.8676937648228237,True
A510,delta_tmax,VICOSA,MG,Sudeste,11,2011,2021,-0.3427696228027344,0.2235126495361328,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.5662822723388672,0.5662822723388672,False
A513,delta_tmax,OURO BRANCO,MG,Sudeste,12,2010,2021,0.9285695212227957,0.031476338704427086,sensibilidade_10a,sensibilidade_consecutiva_10a,0.8970931825183686,0.8970931825183686,True
A521,delta_tmax,PAMPULHA,MG,Sudeste,17,2009,2025,0.36368370056152344,0.18246014912923175,sensibilidade_10a,sensibilidade_consecutiva_10a,0.18122355143229169,0.18122355143229169,True
A531,delta_tmax,MARIA DA FE,MG,Sudeste,18,2008,2025,-0.03441810607910156,-0.03441810607910156,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A533,delta_tmax,GUANHAES,MG,Sudeste,11,2008,2018,-0.5713510513305664,-0.4577951431274414,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.113555908203125,0.113555908203125,True
A539,delta_tmax,MOCAMBINHO,MG,Sudeste,10,2016,2025,-0.5412063598632812,-0.3933143615722656,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.14789199829101562,0.14789199829101562,True
A555,delta_tmax,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,0.47656279343825114,0.9155893325805664,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.43902653914231526,0.43902653914231526,True
A701,delta_tmax,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,0.008606910705566406,-0.33397674560546875,sensibilidade_10a,sensibilidade_consecutiva_10a,0.34258365631103516,0.34258365631103516,False
A703,delta_tmax,PONTA PORA,MS,Centro-Oeste,10,2012,2021,0.1759052276611328,0.1350275675455729,sensibilidade_10a,sensibilidade_consecutiva_10a,0.040877660115559905,0.040877660115559905,True
A801,delta_tmax,PORTO ALEGRE,RS,Sul,19,2007,2025,0.5604347815880408,0.5604347815880408,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A811,delta_tmax,CANGUCU,RS,Sul,11,2009,2019,0.056489308675130204,0.2708277335533729,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.21433842487824273,0.21433842487824273,True
A839,delta_tmax,PASSO FUNDO,RS,Sul,10,2007,2016,1.7137455940246582,0.4838226636250814,sensibilidade_10a,sensibilidade_consecutiva_10a,1.2299229303995767,1.2299229303995767,True
A884,delta_tmax,CAMPO BOM,RS,Sul,11,2014,2024,1.2381998697916667,1.2381998697916667,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
F501,delta_tmax,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,0.3941631317138672,0.3941631317138672,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A001,tmax_era5,BRASILIA,DF,Centro-Oeste,15,2011,2025,0.6863043043348525,0.6726310229060626,sensibilidade_10a,sensibilidade_consecutiva_10a,0.013673281428789874,0.013673281428789874,True
A002,tmax_era5,GOIANIA,GO,Centro-Oeste,15,2010,2024,0.6658087836371528,0.841796875,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.1759880913628472,0.1759880913628472,True
A036,tmax_era5,CRISTALINA,GO,Centro-Oeste,18,2008,2025,0.5837673611111112,0.5837673611111112,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A045,tmax_era5,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,1.1142985026041665,1.1142985026041665,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A046,tmax_era5,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,-0.66650390625,-0.66650390625,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A101,tmax_era5,MANAUS,AM,Norte,15,2011,2025,1.2786865234375,1.6987173897879466,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.4200308663504466,0.4200308663504466,True
A408,tmax_era5,ITABERABA,BA,Nordeste,12,2012,2023,1.2337748209635417,0.2535400390625,sensibilidade_10a,sensibilidade_consecutiva_10a,0.9802347819010417,0.9802347819010417,True
A409,tmax_era5,ARACAJU,SE,Nordeste,10,2011,2020,1.2848772321428572,0.899810791015625,sensibilidade_10a,sensibilidade_consecutiva_10a,0.3850664411272322,0.3850664411272322,True
A430,tmax_era5,PIATA,BA,Nordeste,12,2009,2020,1.1402587890625,0.7087053571428571,sensibilidade_10a,sensibilidade_consecutiva_10a,0.4315534319196429,0.4315534319196429,True
A502,tmax_era5,BARBACENA,MG,Sudeste,10,2013,2022,-0.10335286458333334,1.0504150390625,sensibilidade_10a,sensibilidade_consecutiva_10a,-1.1537679036458333,1.1537679036458333,False
A506,tmax_era5,MONTES CLAROS,MG,Sudeste,10,2016,2025,0.21809895833333331,0.369720458984375,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.15162150065104169,0.15162150065104169,True
