rede,variavel,nome_variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,valor_inicial_c,valor_final_c,n,mk_s,mk_tau,mk_var_classica,mk_z_classico,mk_p_classico,sen_slope_c_ano,sen_slope_c_decada,rho1_rank_detrendido,limite_acf_aprox,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_var_modificada,mk_z_modificado,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,classificacao_classica,classificacao_modificada,classificacao_modificada_fdr,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,-0.3254890441894531,-0.8814964294433594,15,-33,-0.3142857142857143,408.3333333333333,-1.5835893097772593,0.11328720822235328,-0.0409698486328125,-0.409698486328125,0.10107334525939177,0.5060605247526638,0,1.0,408.3333333333333,-1.5835893097772593,0.11328720822235328,0.25489621850029487,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A002,GOIANIA,GO,Centro-Oeste,15,2010,2024,-1.0187034606933594,-3.781494140625,15,-65,-0.6190476190476191,408.3333333333333,-3.1671786195545186,0.0015392574185091323,-0.16530391148158483,-1.6530391148158483,-0.39177101967799643,0.5060605247526638,0,1.0,408.3333333333333,-3.1671786195545186,0.0015392574185091323,0.013853316766582191,True,True,True,decrescente,decrescente,decrescente,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A036,CRISTALINA,GO,Centro-Oeste,18,2008,2025,0.8342742919921875,-0.6101570129394531,18,-49,-0.3202614379084967,697.0,-1.8181296457885685,0.06904431984775128,-0.05782737731933594,-0.5782737731933594,-0.08109504132231404,0.4619679414498925,0,1.0,697.0,-1.8181296457885685,0.06904431984775128,0.20713295954325384,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,-2.347166061401367,-2.5624542236328125,17,-60,-0.4411764705882353,589.3333333333334,-2.430365035986322,0.015083622594694868,-0.07740473747253418,-0.7740473747253418,-0.2426470588235294,0.4753610900391235,0,1.0,589.3333333333334,-2.430365035986322,0.015083622594694868,0.0678763016761269,True,True,False,decrescente,decrescente,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A101,MANAUS,AM,Norte,15,2011,2025,-4.423877716064453,0.4052734375,15,33,0.3142857142857143,408.3333333333333,1.5835893097772593,0.11328720822235328,0.11102973090277778,1.1102973090277777,-0.554561717352415,0.5060605247526638,1,1.887298747763864,770.6469886702445,1.1527157720893397,0.24902706558351273,0.3735405983752691,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.13573985736115945
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A507,UBERLANDIA,MG,Sudeste,17,2009,2025,-1.9044456481933594,-1.6007843017578125,17,18,0.1323529411764706,589.3333333333334,0.7002746713858894,0.48375578649645234,0.022228326116289412,0.22228326116289412,0.33578431372549017,0.4753610900391235,0,1.0,589.3333333333334,0.7002746713858894,0.48375578649645234,0.5442252598085089,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A521,PAMPULHA,MG,Sudeste,17,2009,2025,-4.46650505065918,-3.2603511810302734,17,24,0.17647058823529413,589.3333333333334,0.9474304377573798,0.3434194871827416,0.036368370056152344,0.36368370056152344,-0.27450980392156865,0.4753610900391235,0,1.0,589.3333333333334,0.9474304377573798,0.3434194871827416,0.44153934066352496,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A531,MARIA DA FE,MG,Sudeste,18,2008,2025,-1.8353023529052734,-2.044384002685547,18,-1,-0.006535947712418301,697.0,0.0,1.0,-0.0034418106079101562,-0.03441810607910156,0.24948347107438015,0.4619679414498925,2,1.8115125182304328,1262.6242252066118,0.0,1.0,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,delta_tmax,Delta Tmax (ERA5 - INMET),A801,PORTO ALEGRE,RS,Sul,19,2007,2025,-0.8342781066894531,-0.7541999816894531,19,35,0.2046783625730994,817.0,1.1895094285202432,0.23423926303398224,0.05604347815880409,0.5604347815880408,0.11228070175438597,0.4496465758731267,0,1.0,817.0,1.1895094285202432,0.23423926303398224,0.3735405983752691,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
principal_consecutiva_15a,tmax_era5,Tmax ERA5,A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,32.974510192871094,33.318504333496094,15,13,0.12380952380952381,408.3333333333333,0.5938459911664722,0.5526151250628484,0.06863043043348524,0.6863043043348525,-0.31305903398926654,0.5060605247526638,0,1.0,408.3333333333333,0.5938459911664722,0.5526151250628484,0.5526151250628484,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
