codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A316,2014,anomalia,-9,7034,-1.1671051979064941,5.006359100341797,0.32493985623467564
A316,2014,anomalia,-8,7042,-1.1687136888504028,5.391678810119629,0.210928779953951
A316,2014,anomalia,-7,7054,-1.1740314960479736,5.765257358551025,0.09275350529098897
A316,2014,anomalia,-6,7073,-1.1808973550796509,6.101288795471191,-0.02051023228040352
A316,2014,anomalia,-5,7100,-1.1878336668014526,6.385866641998291,-0.12161722433816527
A316,2014,anomalia,-4,7141,-1.1921274662017822,6.606330394744873,-0.20458815686735202
A316,2014,anomalia,-3,7184,-1.1871607303619385,6.760624885559082,-0.26528910277889894
A316,2014,anomalia,-2,7234,-1.175240397453308,6.845689296722412,-0.3026374347446353
A316,2014,anomalia,-1,7275,-1.152848482131958,6.871878623962402,-0.3169311100685851
A316,2014,anomalia,0,7377,-1.1127909421920776,6.809920787811279,-0.30190411789246546
A316,2014,anomalia,1,7275,-1.1010332107543945,6.784036159515381,-0.2846309236816024
A316,2014,anomalia,2,7234,-1.091646432876587,6.668791770935059,-0.23724306973306522
A316,2014,anomalia,3,7184,-1.0975571870803833,6.489798545837402,-0.1664598285135338
A316,2014,anomalia,4,7141,-1.1116044521331787,6.241913318634033,-0.07440575283171715
A316,2014,anomalia,5,7100,-1.13239586353302,5.932783126831055,0.034589514704756026
A316,2014,anomalia,6,7073,-1.1506203413009644,5.5731611251831055,0.153297518807216
A316,2014,anomalia,7,7054,-1.1636178493499756,5.18754243850708,0.2723311448016245
A316,2014,anomalia,8,7042,-1.1715412139892578,4.8032307624816895,0.3822579284665455
A316,2014,anomalia,9,7034,-1.174972653388977,4.4574809074401855,0.4738198264546311
A316,2014,anomalia,10,7030,-1.1733827590942383,4.190563678741455,0.5395680497545305
A316,2014,anomalia,11,7027,-1.170593500137329,4.051478862762451,0.5721145125229401
A316,2014,anomalia,12,7025,-1.1662918329238892,4.075923919677734,0.5663213163839541
A316,2014,anomalia,13,7024,-1.161675214767456,4.264773368835449,0.5213301924140915
A316,2014,anomalia,14,7024,-1.1588563919067383,4.5780558586120605,0.4423671212865345
A316,2014,anomalia,15,7025,-1.1569595336914062,4.959803581237793,0.33862616550335617
A316,2014,anomalia,16,7030,-1.1594290733337402,5.3616414070129395,0.22066281729191042
A316,2014,anomalia,17,7038,-1.1651051044464111,5.747255325317383,0.09891238162957208
A316,2014,anomalia,18,7057,-1.1753779649734497,6.0935163497924805,-0.01763708780008079
A316,2014,anomalia,19,7081,-1.1839799880981445,6.387304782867432,-0.1222693503881882
A316,2014,anomalia,20,7114,-1.1899033784866333,6.616891860961914,-0.20879498616145484
