area,anos_com_dados,primeiro_ano,ultimo_ano,bias_anual_mediano_pares_c,mae_anual_mediano_pares_c,rmse_anual_mediano_pares_c,correlacao_anual_mediana_pares,bias_anual_mediano_equilibrado_c,rmse_anual_mediano_equilibrado_c,correlacao_mediana_estacoes
Brasil,26,2000,2025,-0.4028913264100169,1.5255604499678457,2.0031152908718948,0.9384517134657739,-0.4085528848437663,2.000865896417218,0.9350536945601251
Norte,26,2000,2025,-0.4506650441646844,1.4945733738783757,1.94066635825253,0.8794462977147056,-0.4380483939751457,1.9341510664911565,0.8898425677085362
Nordeste,26,2000,2025,-0.5894727228037742,1.403027581879473,1.829232922436368,0.9238763834160262,-0.5948064315526518,1.8368785593617354,0.9359935032109737
Centro-Oeste,26,2000,2025,-0.21706428314407997,1.5007987988657816,1.9607968868122398,0.9290300475177389,-0.22210034783535249,1.9671868484704187,0.9312358781201898
Sudeste,26,2000,2025,-0.3223569048738335,1.7063582848875154,2.237765306268359,0.909659389673643,-0.35903278466244126,2.2515901715337527,0.9393699165245024
Sul,26,2000,2025,-0.2856936777266068,1.4548462358441396,1.9325285515582857,0.9493757903948717,-0.2949322990307517,1.929676388632514,0.9536917829009381
