ano,codigo,datetime_utc,grid_index,temp_inmet_c,temp_era5_c,erro_c,erro_abs,ranking
2001,A402,2001-12-21 23:00:00,11869,22.8,25.334864,2.5348637,2.5348637104034424,18
2001,A402,2001-12-31 13:00:00,11869,25.4,22.87002,-2.5299802,2.529980182647705,19
2001,A402,2001-12-29 01:00:00,11869,26.1,23.610254,-2.4897456,2.489745616912842,20
2001,A601,2001-01-27 19:00:00,18636,35.4,27.2792,-8.1208,8.120800018310547,1
2001,A601,2001-03-28 19:00:00,18636,33.6,25.720118,-7.8798823,7.879882335662842,2
2001,A601,2001-07-27 17:00:00,18636,33.7,26.137323,-7.5626764,7.562676429748535,3
2001,A601,2001-01-28 21:00:00,18636,35.6,28.30752,-7.29248,7.292479991912842,4
2001,A601,2001-09-15 15:00:00,18636,21.7,28.980448,7.280448,7.280447959899902,5
2001,A601,2001-07-19 06:00:00,18636,25.6,18.328028,-7.271972,7.271972179412842,6
2001,A601,2001-07-21 10:00:00,18636,25.8,18.630152,-7.1698484,7.169848442077637,7
2001,A601,2001-02-24 19:00:00,18636,35.5,28.405664,-7.0943356,7.094335556030273,8
2001,A601,2001-07-21 09:00:00,18636,25.9,18.926645,-6.973355,6.973354816436768,9
2001,A601,2001-07-21 11:00:00,18636,26.5,19.554453,-6.945547,6.945547103881836,10
2001,A601,2001-07-21 12:00:00,18636,28.8,21.860697,-6.9393034,6.939303398132324,11
2001,A601,2001-07-21 08:00:00,18636,26.1,19.183634,-6.916366,6.916366100311279,12
2001,A601,2001-03-13 20:00:00,18636,35.1,28.185694,-6.914306,6.914306163787842,13
2001,A601,2001-07-21 15:00:00,18636,34.9,28.012186,-6.887814,6.887814044952393,14
2001,A601,2001-08-30 14:00:00,18636,29.4,22.543116,-6.8568845,6.856884479522705,15
2001,A601,2001-07-19 05:00:00,18636,25.6,18.745996,-6.8540034,6.854003429412842,16
2001,A601,2001-07-21 07:00:00,18636,26.3,19.472727,-6.8272734,6.827273368835449,17
2001,A601,2001-07-19 07:00:00,18636,25.1,18.323145,-6.776855,6.776854991912842,18
2001,A601,2001-03-28 18:00:00,18636,34.9,28.186426,-6.713574,6.713573932647705,19
2001,A601,2001-01-22 18:00:00,18636,32.3,25.691309,-6.608691,6.608691215515137,20
2002,A101,2002-11-11 18:00:00,5852,33.8,26.410303,-7.389697,7.389697074890137,1
2002,A101,2002-10-24 16:00:00,5852,23.9,29.981104,6.081104,6.081103801727295,2
2002,A101,2002-09-29 14:00:00,5852,24.0,30.009912,6.0099125,6.009912490844727,3
2002,A101,2002-05-05 17:00:00,5852,22.8,28.634668,5.834668,5.834668159484863,4
2002,A101,2002-10-24 14:00:00,5852,22.7,28.511377,5.8113775,5.81137752532959,5
2002,A101,2002-10-24 15:00:00,5852,23.5,29.252588,5.7525883,5.752588272094727,6
2002,A101,2002-05-02 22:00:00,5852,32.0,26.315088,-5.6849117,5.684911727905273,7
2002,A101,2002-05-05 18:00:00,5852,23.0,28.678858,5.678858,5.678857803344727,8
