codigo,estacao,uf,regiao,n_anos_consecutivos,ano_inicio_segmento,ano_fim_segmento,rede_consecutiva_15a,rede_consecutiva_10a
A824,ICARAIMA,PR,Sul,2,2007,2008,False,False
A825,GOIOERE,PR,Sul,1,2023,2023,False,False
A826,ALEGRETE,RS,Sul,3,2007,2009,False,False
A827,BAGE,RS,Sul,7,2007,2013,False,False
A828,ERECHIM,RS,Sul,5,2009,2013,False,False
A829,SAO JOSE DOS AUSENTES,RS,Sul,8,2007,2014,False,False
A830,SAO BORJA,RS,Sul,1,2008,2008,False,False
A831,QUARAI,RS,Sul,6,2019,2024,False,False
A832,SAO GABRIEL,RS,Sul,5,2017,2021,False,False
A833,SANTIAGO,RS,Sul,3,2010,2012,False,False
A834,TRAMANDAI,RS,Sul,6,2009,2014,False,False
A835,MARINGA,PR,Sul,5,2011,2015,False,False
A836,JAGUARAO,RS,Sul,4,2008,2011,False,False
A837,SOLEDADE,RS,Sul,3,2009,2011,False,False
A838,CAMAQUA,RS,Sul,4,2007,2010,False,False
A839,PASSO FUNDO,RS,Sul,10,2007,2016,False,True
A840,BENTO GONCALVES,RS,Sul,5,2010,2014,False,False
A841,JOACABA,SC,Sul,8,2008,2015,False,False
A842,NOVA FATIMA,PR,Sul,2,2013,2014,False,False
A843,DOIS VIZINHOS,PR,Sul,3,2011,2013,False,False
A844,LAGOA VERMELHA,RS,Sul,7,2008,2014,False,False
A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,Sul,5,2009,2013,False,False
A846,FOZ DO IGUACU,PR,Sul,2,2023,2024,False,False
A847,ILHA DO MEL,PR,Sul,2,2014,2015,False,False
A848,DIONISIO CERQUEIRA,SC,Sul,2,2016,2017,False,False
A849,DIAMANTE DO NORTE,PR,Sul,2,2013,2014,False,False
A851,ITAPOA,SC,Sul,3,2016,2018,False,False
A852,SAO LUIZ GONZAGA,RS,Sul,3,2008,2010,False,False
A853,CRUZ ALTA,RS,Sul,6,2013,2018,False,False
A854,FREDERICO WESTPHALEN,RS,Sul,4,2008,2011,False,False
A855,PLANALTO,PR,Sul,3,2023,2025,False,False
A856,PALMEIRA DAS MISSOES,RS,Sul,3,2019,2021,False,False
A857,SAO MIGUEL DO OESTE,SC,Sul,4,2009,2012,False,False
A858,XANXERE,SC,Sul,4,2009,2012,False,False
A859,CACADOR,SC,Sul,6,2016,2021,False,False
A860,CURITIBANOS,SC,Sul,5,2012,2016,False,False
A861,RIO DO CAMPO,SC,Sul,6,2012,2017,False,False
A862,RIO NEGRINHO,SC,Sul,4,2012,2015,False,False
A863,ITUPORANGA,SC,Sul,4,2009,2012,False,False
A864,MAJOR VIEIRA,SC,Sul,8,2011,2018,False,False
A865,LAGES,SC,Sul,2,2015,2016,False,False
A866,Laguna  - Farol de Santa Marta,SC,Sul,2,2013,2014,False,False
A867,ARARANGUA,SC,Sul,4,2022,2025,False,False
A868,ITAJAI,SC,Sul,5,2011,2015,False,False
A869,CIDADE GAUCHA,PR,Sul,2,2019,2020,False,False
A870,RANCHO QUEIMADO,SC,Sul,3,2021,2023,False,False
A871,JAPIRA,PR,Sul,3,2018,2020,False,False
A873,MORRETES,PR,Sul,7,2011,2017,False,False
A874,SAO MATEUS DO SUL,PR,Sul,3,2015,2017,False,False
A875,GENERAL CARNEIRO,PR,Sul,6,2009,2014,False,False
A876,CLEVELANDIA,PR,Sul,4,2009,2012,False,False
A878,MOSTARDAS,RS,Sul,2,2012,2013,False,False
A879,CANELA,RS,Sul,8,2009,2016,False,False
A880,VACARIA,RS,Sul,3,2009,2011,False,False
A881,DOM PEDRITO,RS,Sul,2,2014,2015,False,False
A882,TEUTONIA,RS,Sul,3,2013,2015,False,False
A883,IBIRUBA,RS,Sul,5,2016,2020,False,False
A884,CAMPO BOM,RS,Sul,11,2014,2024,False,True
A887,CAPAO DO LEAO (PELOTAS),RS,Sul,2,2020,2021,False,False
A889,SAO VICENTE DO SUL,RS,Sul,2,2021,2022,False,False
A893,ENCRUZILHADA DO SUL,RS,Sul,2,2022,2023,False,False
A894,SERAFINA CORREA,RS,Sul,4,2017,2020,False,False
A897,CAMBARA DO SUL,RS,Sul,2,2017,2018,False,False
A898,CAMPOS NOVOS,SC,Sul,6,2020,2025,False,False
A899,Santa Vitoria do Palmar - Barra do Chui,RS,Sul,3,2009,2011,False,False
A902,TANGARA DA SERRA,MT,Centro-Oeste,2,2007,2008,False,False
A903,S.J. DO RIO CLARO,MT,Centro-Oeste,3,2023,2025,False,False
A904,SORRISO,MT,Centro-Oeste,5,2014,2018,False,False
A905,CAMPO NOVO DOS PARECIS,MT,Centro-Oeste,1,2003,2003,False,False
A906,GUARANTA DO NORTE,MT,Centro-Oeste,3,2012,2014,False,False
A907,RONDONOPOLIS,MT,Centro-Oeste,5,2011,2015,False,False
A908,AGUA BOA,MT,Centro-Oeste,4,2007,2010,False,False
A909,ALTO ARAGUAIA,MT,Centro-Oeste,2,2012,2013,False,False
A910,APIACAS,MT,Centro-Oeste,2,2012,2013,False,False
A913,COMODORO,MT,Centro-Oeste,5,2007,2011,False,False
A914,JUARA,MT,Centro-Oeste,3,2009,2011,False,False
A915,PARANATINGA,MT,Centro-Oeste,1,2007,2007,False,False
A916,QUERENCIA,MT,Centro-Oeste,2,2008,2009,False,False
A917,SINOP,MT,Centro-Oeste,2,2023,2024,False,False
A919,COTRIGUACU,MT,Centro-Oeste,3,2008,2010,False,False
A920,JUINA,MT,Centro-Oeste,2,2009,2010,False,False
A921,SAO FELIX  DO ARAGUAIA,MT,Centro-Oeste,1,2009,2009,False,False
A922,VILA BELA DA SANTISSIMA TRINDADE,MT,Centro-Oeste,2,2007,2008,False,False
A923,PRIMAVERA DO LESTE,MT,Centro-Oeste,1,2018,2018,False,False
A930,GAUCHA DO NORTE,MT,Centro-Oeste,2,2009,2010,False,False
A931,SANTO ANTONIO DO LESTE,MT,Centro-Oeste,4,2013,2016,False,False
A932,GUIRATINGA,MT,Centro-Oeste,3,2012,2014,False,False
A934,ALTO TAQUARI,MT,Centro-Oeste,3,2009,2011,False,False
A936,SALTO DO CEU,MT,Centro-Oeste,3,2009,2011,False,False
A937,PONTES E LACERDA,MT,Centro-Oeste,7,2012,2018,False,False
A938,VILHENA,RO,Norte,4,2011,2014,False,False
A939,CACOAL,RO,Norte,3,2010,2012,False,False
A940,ARIQUEMES,RO,Norte,3,2011,2013,False,False
A941,CACERES,MT,Centro-Oeste,3,2016,2018,False,False
A942,SAO JOSE DO XINGU,MT,Centro-Oeste,1,2020,2020,False,False
A943,SERRA NOVA DOURADA,MT,Centro-Oeste,1,2020,2020,False,False
A944,ROSARIO OESTE,MT,Centro-Oeste,3,2023,2025,False,False
B803,CAMPINA DA LAGOA,PR,Sul,2,2024,2025,False,False
B804,LARANJEIRAS DO SUL,PR,Sul,2,2023,2024,False,False
B806,COLOMBO,PR,Sul,4,2017,2020,False,False
B807,PORTO ALEGRE- BELEM NOVO,RS,Sul,2,2023,2024,False,False
F501,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,False,True
S117,DTCEA TEFE,AM,Norte,1,2018,2018,False,False
S120,DTCEA JACAREACANGA,PA,Norte,1,2018,2018,False,False
S701,ANGELICA,MS,Centro-Oeste,1,2020,2020,False,False
S702,ARAL MOREIRA,MS,Centro-Oeste,1,2020,2020,False,False
S704,BONITO,MS,Centro-Oeste,1,2020,2020,False,False
S709,IGUATEMI,MS,Centro-Oeste,1,2020,2020,False,False
S710,ITAPORA,MS,Centro-Oeste,1,2020,2020,False,False
S715,RIBAS DO RIO PARDO,MS,Centro-Oeste,1,2020,2020,False,False
S716,SANTA RITA DO PARDO,MS,Centro-Oeste,1,2020,2020,False,False
S717,SELVIRIA,MS,Centro-Oeste,1,2019,2019,False,False
