codigo,estacao,uf,regiao,n_anos_consecutivos,ano_inicio_segmento,ano_fim_segmento,rede_consecutiva_15a,rede_consecutiva_10a
A233,SANTANA DO ARAGUAIA,PA,Norte,2,2009,2010,False,False
A234,TUCUMA,PA,Norte,3,2017,2019,False,False
A235,NOVO REPARTIMENTO,PA,Norte,4,2013,2016,False,False
A236,CAMETA,PA,Norte,1,2013,2013,False,False
A237,CAXIAS,MA,Nordeste,2,2023,2024,False,False
A238,BURITICUPU,MA,Nordeste,9,2009,2017,False,False
A239,MONTE ALEGRE,PA,Norte,1,2013,2013,False,False
A242,OIAPOQUE,AP,Norte,2,2024,2025,False,False
A244,PORTO GRANDE,AP,Norte,2,2023,2024,False,False
A245,PORTO DE MOZ,PA,Norte,2,2023,2024,False,False
A246,MINA DO PALITO,PA,Norte,3,2012,2014,False,False
A247,XINGUARA,PA,Norte,1,2017,2017,False,False
A248,CAPITAO POCO,PA,Norte,2,2012,2013,False,False
A249,MACAPA,AP,Norte,3,2023,2025,False,False
A250,SANTAREM,PA,Norte,2,2018,2019,False,False
A252,DOM ELISEU,PA,Norte,3,2023,2025,False,False
A253,ALTAMIRA,PA,Norte,2,2023,2024,False,False
A254,REDENCAO,PA,Norte,2,2020,2021,False,False
A255,ZE DOCA,MA,Nordeste,3,2023,2025,False,False
A256,SANTA MARIA DAS BARREIRAS,PA,Norte,1,2024,2024,False,False
A301,RECIFE,PE,Nordeste,6,2010,2015,False,False
A303,MACEIO,AL,Nordeste,7,2013,2019,False,False
A305,FORTALEZA,CE,Nordeste,3,2013,2015,False,False
A306,SOBRAL,CE,Nordeste,4,2017,2020,False,False
A307,PETROLINA,PE,Nordeste,7,2011,2017,False,False
A308,PARNAIBA,PI,Nordeste,3,2014,2016,False,False
A309,ARCO VERDE,PE,Nordeste,5,2015,2019,False,False
A310,AREIA,PB,Nordeste,6,2007,2012,False,False
A311,FLORIANO,PI,Nordeste,5,2010,2014,False,False
A312,TERESINA,PI,Nordeste,4,2015,2018,False,False
A313,CAMPINA GRANDE,PB,Nordeste,3,2008,2010,False,False
A315,BARBALHA,CE,Nordeste,2,2008,2009,False,False
A316,CAICO,RN,Nordeste,3,2007,2009,False,False
A317,MACAU,RN,Nordeste,3,2007,2009,False,False
A318,MOSSORO,RN,Nordeste,3,2008,2010,False,False
A319,IGUATU,CE,Nordeste,1,2008,2008,False,False
A320,JOAO PESSOA,PB,Nordeste,3,2022,2024,False,False
A321,PATOS,PB,Nordeste,2,2008,2009,False,False
A322,GARANHUNS,PE,Nordeste,6,2008,2013,False,False
A323,PAO DE ACUCAR,AL,Nordeste,2,2008,2009,False,False
A324,TAUA,CE,Nordeste,4,2011,2014,False,False
A325,QUIXERAMOBIM,CE,Nordeste,2,2008,2009,False,False
A326,BOM JESUS DO PIAUI,PI,Nordeste,4,2011,2014,False,False
A327,PALMEIRA DOS INDIOS,AL,Nordeste,3,2008,2010,False,False
A328,SURUBIM,PE,Nordeste,4,2009,2012,False,False
A329,CABROBO,PE,Nordeste,5,2008,2012,False,False
A331,SAO JOAO DO PIAUI,PI,Nordeste,3,2008,2010,False,False
A334,MONTEIRO,PB,Nordeste,3,2008,2010,False,False
A335,PIRIPIRI,PI,Nordeste,2,2009,2010,False,False
A337,CARACOL,PI,Nordeste,1,2010,2010,False,False
A338,ESPERANTINA,PI,Nordeste,3,2013,2015,False,False
A340,APODI,RN,Nordeste,2,2008,2009,False,False
A342,CRATEUS,CE,Nordeste,5,2011,2015,False,False
A343,PICOS,PI,Nordeste,2,2012,2013,False,False
A344,CALCANHAR,RN,Nordeste,1,2011,2011,False,False
A345,SAO RAIMUNDO NONATO,PI,Nordeste,3,2016,2018,False,False
A346,URUCUI,PI,Nordeste,4,2012,2015,False,False
A347,CAMPOS SALES,CE,Nordeste,3,2009,2011,False,False
A348,CABACEIRAS,PB,Nordeste,4,2009,2012,False,False
A349,IBIMIRIM,PE,Nordeste,8,2009,2016,False,False
A350,SERRA TALHADA,PE,Nordeste,4,2012,2015,False,False
A351,FLORESTA,PE,Nordeste,3,2013,2015,False,False
A352,CAMARATUBA,PB,Nordeste,3,2013,2015,False,False
A353,ARAPIRACA,AL,Nordeste,7,2009,2015,False,False
A354,OEIRAS,PI,Nordeste,2,2009,2010,False,False
A355,CORURIPE,AL,Nordeste,4,2011,2014,False,False
A356,SAO LUIS DO QUITUNDE,AL,Nordeste,2,2009,2010,False,False
A357,PALMARES,PE,Nordeste,6,2009,2014,False,False
A358,JAGUARIBE,CE,Nordeste,4,2013,2016,False,False
A359,ITAPIPOCA,CE,Nordeste,2,2011,2012,False,False
A360,ACARAU,CE,Nordeste,4,2010,2013,False,False
A361,CASTELO DO PIAUI,PI,Nordeste,3,2010,2012,False,False
A362,SAO PEDRO DO PIAUI,PI,Nordeste,2,2013,2014,False,False
A363,VALENCA DO PIAUI,PI,Nordeste,6,2010,2015,False,False
A364,GILBUES,PI,Nordeste,3,2010,2012,False,False
A366,OURICURI,PE,Nordeste,2,2011,2012,False,False
A367,SANTA CRUZ,RN,Nordeste,2,2012,2013,False,False
A368,TIANGUA,CE,Nordeste,2,2019,2020,False,False
A369,QUIXADA,CE,Nordeste,1,2023,2023,False,False
A370,SALGUEIRO,PE,Nordeste,3,2023,2025,False,False
A371,PIRANHAS,AL,Nordeste,2,2024,2025,False,False
A372,IPANGUACU,RN,Nordeste,1,2018,2018,False,False
A373,ITAPORANGA,PB,Nordeste,1,2018,2018,False,False
A374,CORRENTE,PI,Nordeste,4,2022,2025,False,False
A375,BAIXA GRANDE DO RIBEIRO,PI,Nordeste,2,2020,2021,False,False
A377,ANGICAL DO PIAUI,PI,Nordeste,1,2020,2020,False,False
A401,SALVADOR,BA,Nordeste,9,2017,2025,False,False
A402,BARREIRAS,BA,Nordeste,4,2013,2016,False,False
A404,LUIZ EDUARDO MAGALHAES,BA,Nordeste,4,2016,2019,False,False
A405,CARAVELAS,BA,Nordeste,2,2011,2012,False,False
A407,ITIRUCU,BA,Nordeste,5,2010,2014,False,False
A408,ITABERABA,BA,Nordeste,12,2012,2023,False,True
A409,ARACAJU,SE,Nordeste,10,2011,2020,False,True
A410,ILHEUS,BA,Nordeste,3,2014,2016,False,False
A413,FEIRA DE SANTANA,BA,Nordeste,4,2008,2011,False,False
A414,VITORIA DA CONQUISTA,BA,Nordeste,6,2008,2013,False,False
A415,SANTA RITA DE CASSIA,BA,Nordeste,2,2008,2009,False,False
A416,CORRENTINA,BA,Nordeste,3,2013,2015,False,False
A417,ITABAIANINHA,SE,Nordeste,3,2008,2010,False,False
A419,POCO VERDE,SE,Nordeste,2,2009,2010,False,False
A420,CARIRA,SE,Nordeste,3,2009,2011,False,False
A421,BREJO GRANDE,SE,Nordeste,3,2017,2019,False,False
A422,ABROLHOS,BA,Nordeste,1,2015,2015,False,False
A423,REMANSO,BA,Nordeste,2,2009,2010,False,False
A424,IRECE,BA,Nordeste,5,2017,2021,False,False
A425,LENCOIS,BA,Nordeste,3,2018,2020,False,False
A426,GUANAMBI,BA,Nordeste,4,2012,2015,False,False
A427,PORTO SEGURO,BA,Nordeste,3,2009,2011,False,False
A428,SENHOR DO BONFIM,BA,Nordeste,3,2009,2011,False,False
A429,BARRA,BA,Nordeste,3,2018,2020,False,False
A430,PIATA,BA,Nordeste,12,2009,2020,False,True
A432,BURITIRAMA,BA,Nordeste,4,2012,2015,False,False
A433,BRUMADO,BA,Nordeste,7,2009,2015,False,False
A434,AMARGOSA,BA,Nordeste,5,2009,2013,False,False
A435,UAUA,BA,Nordeste,2,2009,2010,False,False
A436,QUEIMADAS,BA,Nordeste,3,2015,2017,False,False
A437,UNA,BA,Nordeste,4,2011,2014,False,False
A438,MARAU,BA,Nordeste,3,2011,2013,False,False
A439,IBOTIRAMA,BA,Nordeste,2,2009,2010,False,False
A440,JACOBINA,BA,Nordeste,4,2009,2012,False,False
A441,SERRINHA,BA,Nordeste,8,2012,2019,False,False
A442,EUCLIDES DA CUNHA,BA,Nordeste,4,2009,2012,False,False
A443,DELFINO,BA,Nordeste,4,2009,2012,False,False
A444,VALENCA,BA,Nordeste,1,2014,2014,False,False
A445,IPIAU,BA,Nordeste,5,2010,2014,False,False
A446,ITAPETINGA,BA,Nordeste,3,2018,2020,False,False
A447,BELMONTE,BA,Nordeste,3,2013,2015,False,False
A448,CURACA,BA,Nordeste,3,2018,2020,False,False
