ano,amostra,area,n_pares,n_estacoes,media_inmet_c_pares,media_era5_c_pares,bias_pares_c,mae_pares_c,rmse_pares_c,correlacao_pares,erro_p05_pares_c,erro_mediana_pares_c,erro_p95_pares_c,n_abs_erro_gt5,n_abs_erro_gt10,pct_abs_erro_gt5,pct_abs_erro_gt10,n_estacoes_equilibradas,n_pares_mediana_estacao,bias_media_estacoes_c,bias_mediana_estacoes_c,mae_media_estacoes_c,mae_mediana_estacoes_c,rmse_equilibrado_estacoes_c,rmse_mediana_estacoes_c,correlacao_mediana_estacoes,n_pares_completa,bias_pares_c_completa,mae_pares_c_completa,rmse_pares_c_completa,correlacao_pares_completa,pares_removidos_qc,delta_bias_qc_c,delta_mae_qc_c,delta_rmse_qc_c,delta_correlacao_qc
2000,principal,Brasil,19722,5,23.90721022138585,23.03203789240786,-0.8751723293379152,1.568230374476565,2.070225675933468,0.9170610416767292,-4.134695959091187,-0.7332439422607422,1.7753373384475708,478,6,2.423689281005983,0.0304228780042592,5,5011.0,-0.8159860845210666,-0.5845771976100855,1.5300465665166463,1.4474220519243663,2.008868916334978,1.8250206695770042,0.9047682878219996,19722,-0.8751723293379152,1.568230374476565,2.070225675933471,0.9170610416767321,0,0.0,0.0,-3.1086244689504383e-15,-2.886579864025407e-15
2000,principal,Norte,5011,1,27.28591099063262,25.849798462105902,-1.4361125340792138,1.7638407973621748,2.194687464258045,0.8495393781250017,-4.138158798217773,-1.3760738372802734,1.0888919830322266,112,0,2.2350828178008384,0.0,1,5011.0,-1.4361125340792138,-1.4361125340792138,1.7638407973621748,1.7638407973621748,2.194687464258037,2.194687464258037,0.8495393781250047,5011,-1.4361125340792138,1.7638407973621748,2.194687464258056,0.8495393781250006,0,0.0,0.0,-1.1102230246251565e-14,1.1102230246251565e-15
2000,principal,Nordeste,2093,1,26.319159092654807,25.734581902217364,-0.5845771976100855,1.4474220519243663,1.8250206695770044,0.6467910125594358,-3.606181240081787,-0.028905868530273438,1.6093266010284424,3,0,0.1433349259436216,0.0,1,2093.0,-0.5845771976100855,-0.5845771976100855,1.4474220519243663,1.4474220519243663,1.8250206695770042,1.8250206695770042,0.6467910125594333,2093,-0.5845771976100855,1.4474220519243663,1.8250206695770044,0.6467910125594358,0,0.0,0.0,0.0,0.0
2000,principal,Centro-Oeste,5174,1,21.572110557814202,21.792223489832868,0.22011293763703463,0.9864354468047444,1.4333278075119147,0.9376835560681706,-1.741610962152481,0.13909798115491867,2.435952270030973,60,5,1.1596443757247779,0.09663703131039815,1,5174.0,0.22011293763703463,0.22011293763703463,0.9864354468047444,0.9864354468047444,1.433327807511921,1.433327807511921,0.9376835560681692,5174,0.22011293763703463,0.9864354468047444,1.4333278075119096,0.9376835560681696,0,0.0,0.0,5.10702591327572e-15,9.992007221626409e-16
2000,principal,Sudeste,5066,1,23.136735105156852,21.440741753229922,-1.6959933433661964,2.1378849425675837,2.663221164935644,0.9047682878220054,-5.0578694343566895,-1.5709712505340576,1.5704349875450134,281,0,5.546782471377813,0.0,1,5066.0,-1.6959933433661964,-1.6959933433661964,2.1378849425675837,2.1378849425675837,2.6632211649356154,2.6632211649356154,0.9047682878219996,5066,-1.6959933433661964,2.1378849425675837,2.663221164935644,0.9047682878220058,0,0.0,0.0,0.0,-4.440892098500626e-16
2000,principal,Sul,2378,1,21.386669454301877,20.803309184548432,-0.5833602851868717,1.3146495939243619,1.6980113450097238,0.9459862470481354,-2.853986346721649,-0.654906839132309,1.9919169127941132,22,1,0.9251471825063078,0.04205214465937763,1,2378.0,-0.5833602851868717,-0.5833602851868717,1.3146495939243619,1.3146495939243619,1.6980113450097243,1.6980113450097243,0.9459862470481343,2378,-0.5833602851868717,1.3146495939243619,1.6980113450097223,0.9459862470481345,0,0.0,0.0,1.5543122344752192e-15,8.881784197001252e-16
2001,principal,Brasil,60807,16,23.8499103722356,23.3351736301549,-0.5147367420891202,1.4976493560170403,1.9366160703442008,0.9216352758630859,-3.565692973136902,-0.5072749853134155,2.503557205200193,847,6,1.3929317348331607,0.009867285016527703,16,2868.5,-0.4837780670552731,-0.4495890857464293,1.5223066439326298,1.6100764643080945,1.9615287972648836,2.000741466844365,0.9237981795863823,60807,-0.5147367420891202,1.4976493560170403,1.9366160703441935,0.9216352758630821,0,0.0,0.0,7.327471962526033e-15,3.774758283725532e-15
2001,principal,Norte,6450,1,27.409255799286125,26.099448945097222,-1.3098068680127228,1.6627210963452406,2.0553864379901183,0.8735884096134897,-3.874625277519226,-1.275185763835907,1.2517850339412653,74,0,1.1472868217054264,0.0,1,6450.0,-1.3098068680127228,-1.3098068680127228,1.6627210963452406,1.6627210963452406,2.055386437990101,2.055386437990101,0.8735884096134866,6450,-1.3098068680127228,1.6627210963452406,2.055386437990124,0.8735884096134919,0,0.0,0.0,-5.773159728050814e-15,-2.220446049250313e-15
2001,principal,Nordeste,8631,2,25.842579085060873,25.45555361788735,-0.3870254585067226,1.3405203127674317,1.6896438670016667,0.6871085922935084,-3.4088131189346313,0.014941787347197533,1.7713138461112976,31,0,0.3591704321631329,0.0,2,4315.5,-0.25874351123597,-0.25874351123597,1.2648999469778883,1.2648999469778883,1.6483277825389464,1.6477596907162717,0.7808978296765047,8631,-0.3870254585067226,1.3405203127674317,1.6896438670016667,0.6871085922935088,0,0.0,0.0,0.0,-4.440892098500626e-16
2001,principal,Centro-Oeste,25177,6,22.995924852486898,22.92603419229235,-0.06989065989150861,1.4249472337970295,1.8757325662276987,0.9205848364484316,-2.859540557861327,-0.19545860588550568,3.260928058624266,394,6,1.5649203638241251,0.02383127457600191,6,3649.5,-0.09586957584551949,-0.14577864122323664,1.5284773094857786,1.6100764643080945,1.9877452062716163,2.100307853714101,0.9161567137840012,25177,-0.06989065989150861,1.4249472337970295,1.8757325662277018,0.9205848364484338,0,0.0,0.0,-3.1086244689504383e-15,-2.220446049250313e-15
