ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,flag_desempenho,amostra_suficiente,categoria_diagnostico,ano_anterior,ano_posterior,grid_index_anterior,grid_index_posterior,latitude_inmet_anterior,latitude_inmet_posterior,longitude_inmet_anterior,longitude_inmet_posterior,altitude_inmet_m_anterior,altitude_inmet_m_posterior,bias_c_anterior,bias_c_posterior,rmse_c_anterior,rmse_c_posterior,correlacao_pearson_anterior,correlacao_pearson_posterior,anterior_consecutivo,posterior_consecutivo,mudou_celula_vs_anterior,mudou_celula_vs_posterior,mudanca_coord_vs_anterior_km,mudanca_altitude_vs_anterior_m,delta_bias_vs_anterior,delta_rmse_vs_anterior,delta_correlacao_vs_anterior
2021,A021,ARAGUAINA,TO,N,-7.10388888,-48.20111111,230.76,-7.0,-48.25,8475,12.749667713937855,0.0011415525114155,10,0.4166666666666667,27.99000015258789,27.908911514282227,-0.08108848258852959,1.3568114928901196,1.5858599293836928,0.8691621818477944,1.6694564563275418,-2.564696788787842,-2.499789583683014,0.11501503363251686,1.9119510173797607,1.9766604900360107,2.564696788787842,0.0,0.0,0.0,0.0,23.100000381469727,31.5,24.727441787719727,30.544092178344727,10,True,19,0.452071666092944,2.2772410209929914,0.8980095762139213,-0.5331601486814737,-0.6913810916092986,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2020.0,2022.0,8475.0,8475.0,-7.103954,-7.10388888,-48.201231,-48.20111111,230.76,230.76,-0.3752137962382183,0.6291614726041602,1.7099063673441264,2.3821366809858477,0.9042662546877128,0.9181872704941513,True,True,False,False,0.015080936938058929,0.0,0.29412531364968875,-0.12404643796043358,-0.035104072839918454
2025,A026,MINEIROS,GO,CO,-17.45472222,-52.60111111,862.0,-17.5,-52.5,15220,11.847053410385463,0.0005707762557077,5,0.20833333333333334,32.97999992370605,30.706787490844725,-2.2732124805450438,2.2732124805450438,2.288227098201705,0.9509908501200673,0.29259244530328243,-2.4944820404052734,-2.4911031246185305,-2.363280773162842,-1.874247694015503,-1.7801754474639893,2.4944820404052734,0.0,0.0,0.0,0.0,31.600000381469727,34.0,29.236719131469727,31.505517959594727,5,True,19,-0.3180007685563661,2.288227098201705,0.9339476577769606,-1.9552117119886776,0.0,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2024.0,,15220.0,,-17.45472222,,-52.60111111,,862.0,,-0.8804127091207385,,2.0123946582951895,,0.945588480075507,,True,False,False,False,0.0,0.0,-1.3927997714243052,0.2758324399065155,0.005402370044560345
2021,A117,COARI,AM,N,-4.09749999,-63.14527777,33.84,-4.0,-63.25,6483,15.888963999452388,0.0026255707762557,23,0.9583333333333334,32.63043445089589,29.651397290437117,-2.9790374610735024,2.9790374610735024,3.1297116793956596,0.7877496195855986,0.9809529929967876,-4.985106945037842,-4.787719249725342,-3.1003901958465576,-1.4734712719917302,-1.3407710790634155,4.985106945037842,0.0,0.0,0.0,0.0,28.899999618530273,34.900001525878906,26.630762100219727,31.730859756469727,23,True,18,-0.5817802399324243,2.2721484134148104,0.7879608898293404,-2.397257221141078,0.8575632659808492,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2020.0,2022.0,6483.0,6483.0,-4.097483,-4.09749999,-63.145322,-63.14527777,33.84,33.84,-0.2479893921868128,-0.5681805207740093,1.8597039929489823,2.01908727979821,0.8597832076116052,0.79011469738539,True,True,False,False,0.005256793570624614,0.0,-2.7310480688866896,1.2700076864466774,-0.07203358802600657
2021,A123,PARINTINS,AM,N,-2.63916666,-56.75611111,18.72,-2.75,-56.75,5704,12.34280034723393,0.0106164383561643,93,3.875,27.634408561132286,26.97498430231566,-0.6594242916332298,1.5987504238102546,1.7816627070945659,0.8798767074005996,1.6641089445790185,-4.343066215515137,-2.448761224746704,-1.0669429302215576,2.1848111629486078,2.8312015533447266,4.343066215515137,0.0,0.0,0.0,0.0,23.399999618530273,34.0,23.496606826782227,31.766504287719727,93,True,18,-0.798358856403832,1.709819966837137,0.8483313459941937,0.13893456477060218,0.07184274025742887,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2020.0,2022.0,5704.0,5704.0,-2.639152,-2.63916666,-56.756177,-56.75611111,18.72,18.72,-0.7074535888456563,-0.6311021096036631,1.8557435488164784,1.6543883065883966,0.8436520774594436,0.8437049362496079,True,True,False,False,0.0074982123528175145,0.0,0.04802929721242655,-0.07408084172191254,0.03622462994115605
2025,A207,GRAJAU,MA,NE,-5.81611111,-46.16222222,232.29,-5.75,-46.25,7678,12.17948521715578,0.0005707762557077,5,0.20833333333333334,27.64000015258789,28.075537490844727,0.43553748577833173,0.5444826409220695,0.8321071547323036,0.961707948554794,0.7927085020978545,-0.2723628878593445,-0.20382773429155351,0.24599647521972656,1.5007718443870541,1.7900394201278687,1.7900394201278687,0.0,0.0,0.0,0.0,25.5,30.799999237060547,25.670312881469727,31.143701553344727,5,True,18,-0.7342985168028402,1.6770001291147811,0.933195169577077,1.1698360025811718,-0.8448929743824776,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2024.0,,7678.0,,-5.81611111,,-46.16222222,,232.29,,-0.6216564855213528,,1.5634214879725838,,0.9375083175277821,,True,False,False,False,0.0,0.0,1.0571939712996845,-0.7313143332402803,0.024199631027011947
2021,A212,PARAGOMINAS,PA,N,-2.99027777,-47.40777777,113.0,-3.0,-47.5,5902,10.297553787824908,0.0078767123287671,69,2.875,27.54782610354216,27.608286954354547,0.06046086269012396,0.966293074298596,1.175086742410176,0.9488509960598097,1.1821276941742518,-2.2541987895965576,-1.9778219223022462,-0.11123009026050568,1.9382230281829822,3.0223147869110107,3.0223147869110107,0.0,0.0,0.0,0.0,23.299999237060547,32.79999923706055,24.405664443969727,32.061424255371094,69,True,19,-0.6008099270365496,1.6071995659357947,0.922747729352255,0.6612707897266735,-0.43211282352561864,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2020.0,2022.0,5902.0,5903.0,-2.99027777,-2.9911111,-47.40777777,-47.35638888,113.0,93.0,-0.13811297421597332,-1.4181077816619336,1.6095279855074989,2.035763231847664,0.9191524137719668,0.8804781576948283,True,True,False,True,0.0,0.0,0.19857383690609728,-0.4344412430973228,0.029698582287842945
2022,A214,RONDON DO PARA,PA,N,-4.82749999,-48.1736111,203.0,-4.75,-48.25,7026,12.079309462935916,0.0002283105022831,2,0.08333333333333333,25.100000858306885,26.716089248657227,1.6160893440246582,10.146313190460205,10.27421121676875,1.0,14.349053722033851,-8.530223846435547,-7.515592527389526,1.6160893440246582,10.747771215438842,11.762402534484863,11.762402534484863,1.0,50.0,0.0,0.0,14.300000190734863,35.900001525878906,26.062402725219727,27.369775772094727,2,True,18,-0.5052080125244368,1.8923764753363586,0.9098457303707818,2.121297356549095,8.38183474143239,True,True,False,True,False,False,True,4,True,poucos_pares|cobertura_baixa|rmse_extremo|salto_rmse_historico,True,False,amostra_insuficiente,2021.0,2023.0,7026.0,7026.0,-4.82749999,-4.82749999,-48.1736111,-48.1736111,203.0,203.0,-0.3003894357473409,-0.04356223733488029,1.2401814726709355,1.5491302524755157,0.9097503965955416,0.9216179106005189,True,True,False,False,0.0,0.0,1.916478779771999,9.034029744097815,0.09024960340445842
2023,A230,SERRA DOS CARAJAS,PA,N,-6.07749999,-50.14222221,707.0,-6.0,-50.25,7823,14.707095602723776,0.0001141552511415,1,0.041666666666666664,30.600000381469727,30.973047256469727,0.37304726243019104,0.37304726243019104,0.37304726243019104,,,0.37304726243019104,0.37304726243019104,0.37304726243019104,0.37304726243019104,0.37304726243019104,0.37304726243019104,0.0,0.0,0.0,0.0,30.600000381469727,30.600000381469727,30.973047256469727,30.973047256469727,1,True,15,0.5601852097313551,1.78957254091217,0.8036854337286833,-0.18713794730116406,-1.416525278481979,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2022.0,,7823.0,,-6.07749999,,-50.14222221,,707.0,,0.6715029638753057,,1.5643237123948999,,0.8590091962188174,,True,False,False,False,0.0,0.0,-0.2984557014451147,-1.1912764499647088,
2023,A246,MINA DO PALITO,PA,N,-6.31999999,-55.78777777,259.88,-6.25,-55.75,7962,8.832875820563011,0.0003424657534246,3,0.125,33.833333333333336,34.418113708496094,0.5847803950309753,1.0198074380556743,1.1767376674295043,0.9884820947415568,1.2506458896515313,-0.6525405645370483,-0.5314321696758271,0.5585433840751648,1.719358867406845,1.8483383655548096,1.8483383655548096,0.0,0.0,0.0,0.0,32.29999923706055,35.400001525878906,34.148338317871094,34.747459411621094,3,True,12,-0.0546637829406934,1.6544411675089257,0.8813042053529505,0.6394441779716687,-0.4777035000794214,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,2020.0,2025.0,7962.0,7962.0,-6.320067,-6.31999999,-55.787783,-55.78777777,259.88,259.88,-0.5720991331650149,0.060996086759117836,1.431771091645226,1.7150531134739269,0.8950912737430123,0.8644004011537586,False,False,False,False,,,,,
2006,A313,CAMPINA GRANDE,PB,NE,-7.24249999,-35.88888888,547.56,-7.25,-36.0,8685,12.284673131247596,0.2041666666666666,49,2.0416666666666665,27.244898037034638,26.50067002432687,-0.7442279350468699,0.9805641863495111,1.2503330094338192,0.961555313576122,1.0151294390332022,-3.5384273529052734,-2.3620797634124755,-0.6322749853134155,0.8683109045028685,1.2252933979034424,3.5384273529052734,0.0,0.0,0.0,0.0,21.399999618530273,32.70000076293945,20.642480850219727,31.202051162719727,49,True,20,-0.42705583328893415,1.0133654437790558,0.9656196416693958,-0.31717210175793575,0.2369675656547634,True,True,False,False,False,False,False,2,True,poucos_pares|cobertura_baixa,False,False,amostra_insuficiente,,2007.0,,8685.0,,-7.24249999,,-35.88888888,,547.56,,-0.19758542174182692,,0.8762606460556627,,0.9710128385997568,False,True,False,False,,,,,
