ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,categoria_diagnostico,anomalia_temporal,motivo_qc_principal,usar_amostra_completa,usar_validacao_principal,usar_resumo_estacao_ano,coordenada_estavel_5km,candidata_tendencia_10a,candidata_tendencia_15a,ano_cobertura_80,usar_tendencia_10a,usar_tendencia_15a
2000,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,0.9020223152022316,5174,215.58333333333334,21.572110557814202,21.792223489832868,0.22011293763703463,0.9864354468047444,1.433327807511921,0.9376835560681692,1.4164627341058094,-5.423290729522705,-1.741610962152481,0.13909798115491867,2.435952270030973,13.11875057220459,13.11875057220459,5.0,0.09663703131039815,0.0,0.0,9.199999809265137,32.599998474121094,10.753244400024414,31.904199600219727,5174,True,26,-0.11593779841806151,1.331293635078306,0.9378639832481799,0.33605073605509617,0.1020341724336149,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2000,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,0.8809774964838256,5011,208.79166666666666,27.28591099063262,25.849798462105902,-1.4361125340792138,1.7638407973621748,2.194687464258037,0.8495393781250047,1.6597540789251048,-7.140575885772705,-4.138158798217773,-1.3760738372802734,1.0888919830322266,8.98178768157959,8.98178768157959,0.0,0.0,0.0,0.0,21.0,35.099998474121094,21.250497817993164,32.428855895996094,5011,True,26,-1.4371868482990986,2.0561563326964283,0.8712734996963911,0.0010743142198847977,0.13853113156160868,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2000,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,0.3742846924177396,2093,87.20833333333333,26.319159092654807,25.734581902217364,-0.5845771976100855,1.4474220519243663,1.8250206695770042,0.6467910125594333,1.7292769316513072,-6.055224418640137,-3.606181240081787,-0.028905868530273438,1.6093266010284424,3.5551273822784424,6.055224418640137,0.0,0.0,0.0,0.0,21.700000762939453,31.799999237060547,22.995019912719727,28.598535537719727,2093,True,26,-0.6211801992488846,1.9903633083887717,0.6774835779729045,0.03660300163879904,-0.16534263881176758,False,True,False,False,False,False,False,1,True,cobertura_baixa,,False,aprovado,True,True,True,True,True,True,False,False,False
2000,A601,ECOLOGIA AGRICOLA,RJ,SE,-22.8,-43.68333333,33.0,-22.75,-43.75,18636,8.810703090067518,0.8831938633193863,5066,211.08333333333334,23.136735105156852,21.440741753229922,-1.6959933433661964,2.1378849425675837,2.6632211649356154,0.9047682878219996,2.0535788276795963,-8.130218505859375,-5.0578694343566895,-1.5709712505340576,1.5704349875450134,6.898972988128662,8.130218505859375,0.0,0.0,0.0,0.0,9.399999618530273,38.20000076293945,9.669260025024414,34.651023864746094,5066,True,26,-1.6494358694489584,2.465682798866861,0.9245325831137603,-0.04655747391723808,0.19753836606875463,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2000,A801,PORTO ALEGRE,RS,S,-30.05,-51.16666666,46.97,-30.0,-51.25,23275,9.76094487470288,0.981023102310231,2378,99.08333333333333,21.386669454301877,20.803309184548432,-0.5833602851868717,1.3146495939243619,1.6980113450097243,0.9459862470481343,1.5949931389563352,-5.270312309265137,-2.853986346721649,-0.654906839132309,1.9919169127941132,10.932126998901367,10.932126998901367,1.0,0.04205214465937763,0.0,0.0,7.599999904632568,36.20000076293945,6.836007595062256,34.353172302246094,2378,True,26,-0.5400876388158806,1.4936584766898413,0.971437723080848,-0.04327264637099104,0.20435286831988297,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2001,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,0.9082191780821918,7956,331.5,21.693652591134747,21.64358896391664,-0.050063625391478156,0.9667874603964635,1.3167718676790923,0.9326802278620918,1.3159025161124827,-4.69960880279541,-1.9501949548721313,-0.11173057556152344,2.137811601161957,8.540332794189453,8.540332794189453,0.0,0.0,0.0,0.0,11.300000190734863,33.099998474121094,13.349252700805664,32.705955505371094,7956,True,26,-0.11593779841806151,1.331293635078306,0.9378639832481799,0.06587417302658335,-0.014521767399213736,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2001,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,-16.75,-49.25,14750,12.343314852630815,0.8613671274961597,4486,186.91666666666666,23.102786442343806,22.861292789729642,-0.24149365705499515,1.7149247234928604,2.1282521628972684,0.930870949950059,2.1147422991349503,-7.330761432647705,-3.2353512048721313,-0.4362300783395767,3.604370594024658,9.02099609375,9.02099609375,0.0,0.0,0.0,0.0,8.699999809265137,34.5,11.813562393188477,32.163475036621094,4486,True,25,-0.6492037631203316,2.0631982970241056,0.9359499036402078,0.4077101060653364,0.06505386587316275,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2001,A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,-17.75,-49.0,15395,11.220997656564998,0.870475113122172,4617,192.375,22.543318171973144,22.816950266563147,0.2736320949916514,1.5270685699177222,1.9437592012375449,0.9379999905403767,1.9246110228214057,-8.746826171875,-2.434208536148071,-0.06215782091021538,3.7422074794769262,11.064990997314453,11.064990997314453,1.0,0.021659085986571368,0.0,0.0,6.099999904632568,39.599998474121094,10.995203018188477,34.588768005371094,4617,True,24,0.33345187307362517,1.8823039668501134,0.940128967341118,-0.05981977808197375,0.0614552343874315,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
2001,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,0.7363013698630136,6450,268.75,27.409255799286125,26.099448945097222,-1.3098068680127228,1.6627210963452406,2.055386437990101,0.8735884096134866,1.584111244058165,-9.626025199890137,-3.874625277519226,-1.275185763835907,1.2517850339412653,5.817920207977295,9.626025199890137,0.0,0.0,0.0,0.0,20.0,37.79999923706055,21.093393325805664,34.171287536621094,6450,True,26,-1.4371868482990986,2.0561563326964283,0.8712734996963911,0.12737998028637576,-0.0007698947063272676,False,True,False,False,False,False,False,1,True,cobertura_baixa,,False,aprovado,True,True,True,True,True,True,False,False,False
2001,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,0.9690639269406393,8489,353.7083333333333,25.857156330234016,25.465766171794545,-0.3913901491770106,1.3430932352406832,1.6910318566012468,0.6794855485523922,1.6452116403680168,-6.434325695037842,-3.414101219177246,0.021405410021543503,1.7631467103958127,4.046267986297607,6.434325695037842,0.0,0.0,0.0,0.0,20.100000381469727,32.400001525878906,21.42514991760254,29.312891006469727,8489,True,26,-0.6211801992488846,1.9903633083887717,0.6774835779729045,0.22979005007187397,-0.29933145178752496,False,False,False,False,False,False,False,0,False,sem_flag,,False,aprovado,True,True,True,True,True,True,True,True,True
