ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,prioridade_diagnostico
2021,A314,GUARAMIRANGA,CE,NE,-4.26138888,-38.9311111,865.53,-4.25,-39.0,6741,7.743245478946592,0.0608447488584474,533,22.208333333333332,22.076547855284154,27.516258518870284,5.439710679689447,5.439710679689447,5.616949487960131,0.9048363800143443,1.401196938486757,2.4764633178710938,3.5987601280212402,5.176953315734863,7.888270664215087,10.040966987609863,10.040966987609863,1.0,0.18761726078799248,0.0,0.0,18.799999237060547,30.5,22.830469131469727,34.808738708496094,533,True,18,5.277933917614069,5.432434832931118,0.8995330635409706,0.1617767620753776,0.18451465502901332,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,311.05666016764957
2018,A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,S,-28.13333333,-49.48333333,1810.0,-28.25,-49.5,22155,13.075186558199285,0.2872146118721461,2516,104.83333333333333,14.325874393619301,19.575628237807695,5.249753832776175,5.250314734591318,5.505636713552913,0.8901804747365776,1.6592813502554598,-0.7034175992012024,2.5251834392547607,5.149243593215942,8.041199207305908,12.198877334594727,12.198877334594727,11.0,0.43720190779014306,0.0,0.0,1.7999999523162842,25.5,7.781396389007568,31.643945693969727,2516,True,18,4.699104628109503,5.240211317395939,0.8847522346210315,0.550649204666672,0.26542539615697347,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,310.75539054632907
2014,A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,S,-28.13333333,-49.48333333,1810.0,-28.25,-49.5,22155,13.075186558199285,0.7608447488584474,6665,277.7083333333333,13.069632410327921,18.101660973634026,5.032028564162775,5.0800619437762755,5.469226889828342,0.8945661607436426,2.142853295758833,-4.492431640625,1.3712064266204835,5.055469036102295,8.435537147521973,15.932568550109863,15.932568550109863,66.0,0.9902475618904727,0.0,0.0,0.4000000059604645,26.299999237060547,3.6659789085388184,32.942771911621094,6665,True,18,4.699104628109503,5.240211317395939,0.8847522346210315,0.3329239360532714,0.22901557243240234,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,310.5012554539911
2019,A314,GUARAMIRANGA,CE,NE,-4.261351,-38.931068,865.53,-4.25,-39.0,6741,7.7472733079239235,0.7210045662100457,6316,263.1666666666667,21.89097530831258,27.035097957185886,5.144122657494087,5.145075578636539,5.335242025207195,0.9193534482071694,1.4153185872263987,-2.1851069927215576,2.7389270663261414,5.063305854797363,7.558313250541687,10.58335018157959,10.58335018157959,3.0,0.04749841671944268,0.0,0.0,16.399999618530273,31.200000762939453,20.84739112854004,36.188865661621094,6316,True,18,5.277933917614069,5.432434832931118,0.8995330635409706,-0.13381126011998212,-0.09719280772392302,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,310.4793646827013
2008,A314,GUARAMIRANGA,CE,NE,-4.26111111,-38.19749999,38.2,-4.25,-38.25,6744,5.9513064990888065,0.7895036429872495,6935,288.9583333333333,21.471348245451583,26.61494714809822,5.1435989162747004,5.14366925400994,5.298665854552688,0.8706371327728927,1.2725893092127172,-0.24389609694480896,3.211460375785828,5.136035442352295,7.410947132110591,10.595117568969727,10.595117568969727,3.0,0.043258832011535686,0.0,0.0,15.600000381469727,29.5,21.375329971313477,34.449363708496094,6935,True,18,5.277933917614069,5.432434832931118,0.8995330635409706,-0.1343350013393687,-0.13376897837842971,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,310.44226477082736
2006,A706,CAMPOS DO JORDAO,SP,SE,-22.75027777,-45.60388888,1642.0,-22.75,-45.5,18629,10.653236962663383,0.1605022831050228,1406,58.583333333333336,16.323328599821284,20.14099945621843,3.817670859953529,4.473653222411039,5.566820709867982,0.37627170052598613,4.052969924749891,-8.521533012390137,-2.7342769503593445,3.6230227947235107,11.82211971282959,19.203760147094727,19.203760147094727,116.0,8.250355618776672,0.0,0.0,5.099999904632568,26.600000381469727,10.414453506469727,28.419580459594727,1406,True,23,3.3197010059986627,3.754862938077634,0.9286919642718094,0.49796985395486626,1.8119577717903481,False,True,False,True,True,False,False,3,True,cobertura_baixa|rmse_extremo|correlacao_baixa,309.3844915698215
2015,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.921461187214612,8072,336.3333333333333,29.35367939139027,28.19366034832889,-1.1600190359294038,6.5778242073213296,7.64033784681597,-0.5634791548718737,7.552230410906705,-17.00468635559082,-12.87680139541626,-1.1790279746055603,10.029451322555541,13.025144577026367,17.00468635559082,1804.0,22.348860257680872,0.0,0.0,20.0,39.400001525878906,19.709375381469727,38.125144958496094,8072,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.15901136648688063,6.012863134337272,False,False,False,True,True,False,True,3,True,rmse_extremo|correlacao_baixa|salto_rmse_historico,308.80035688274535
2007,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,0.6973744292237443,6109,254.54166666666666,28.58106073331747,25.554966414690917,-3.026094318514949,3.3262075068215267,5.475019255960112,0.2994815981807362,4.563112692229235,-21.703609466552734,-17.24258804321289,-1.9863277673721313,1.029014039039611,2.845154285430908,21.703609466552734,403.0,6.596824357505319,52.0,0.8512031429039123,20.700000762939453,45.0,21.875635147094727,30.576562881469727,6109,True,26,-0.6211801992488846,1.9903633083887717,0.6774835779729045,-2.4049141192660644,3.4846559475713406,False,True,False,True,True,False,False,3,True,cobertura_baixa|rmse_extremo|correlacao_baixa,308.501113574475
2014,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.8421232876712329,7377,307.375,29.165433100767213,28.052642257843495,-1.1127908422127386,5.3980525179029835,6.80992064142707,-0.30190411789246174,6.718841796538082,-15.862646102905273,-12.705829620361328,-0.9070796966552734,9.529285430908203,12.052586555480957,15.862646102905273,1246.0,16.890334824454385,0.0,0.0,19.399999618530273,39.0,19.67632484436035,37.101951599121094,7377,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.11178317277021543,5.182445928948372,False,False,False,True,True,False,True,3,True,rmse_extremo|correlacao_baixa|salto_rmse_historico,307.92271148363983
2020,B803,CAMPINA DA LAGOA,PR,S,-24.570861,-52.800256,598.0,-24.5,-52.75,19727,9.377000827963649,0.1247723132969034,1096,45.666666666666664,27.3466240811522,24.96627655690604,-2.3803475243315595,3.704593294530845,5.025755766098371,0.3938692404419281,4.4283246350674625,-14.844921112060547,-10.919470071792603,-1.9269282817840576,5.62370502948761,13.236621856689453,14.844921112060547,90.0,8.211678832116789,0.0,0.0,12.800000190734863,37.79999923706055,10.707178115844727,33.628562927246094,1096,True,10,-0.596145560120166,1.9979431383703536,0.930104892198832,-1.7842019642113935,3.027812627728017,False,True,False,True,True,False,False,3,True,cobertura_baixa|rmse_extremo|correlacao_baixa,307.40610329042994
2004,A706,CAMPOS DO JORDAO,SP,SE,-22.75027777,-45.60388888,1642.0,-22.75,-45.5,18629,10.653236962663383,0.0689890710382513,606,25.25,16.6719472018799,18.287461062862533,1.6155138751307483,4.168626670196972,5.036681449853432,0.2558092492823568,4.77450436484673,-16.724746704101562,-8.814814329147339,3.0953372716903687,5.739038467407227,24.475927352905273,24.475927352905273,32.0,5.2805280528052805,2.0,0.33003300330033003,2.700000047683716,26.899999618530273,5.823419094085693,27.628320693969727,606,True,23,3.3197010059986627,3.754862938077634,0.9286919642718094,-1.7041871308679144,1.2818185117757976,False,True,False,True,True,False,False,3,True,cobertura_baixa|rmse_extremo|correlacao_baixa,306.6521953249842
2006,A610,PICO DO COUTO,RJ,SE,-22.48166666,-43.29138888,1777.0,-22.5,-43.25,18477,4.715609737755797,0.8879107981220657,1513,63.041666666666664,15.055584936211304,22.538849668635176,7.483264736836112,7.483264736836112,7.67966800954994,0.8788372781753379,1.7262732184865461,2.403125286102295,4.997002220153808,7.252099990844727,10.686484909057617,14.81450080871582,14.81450080871582,137.0,9.054857898215465,0.0,0.0,5.0,25.0,12.315088272094727,33.030906677246094,1513,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,0.6850261581806052,0.5831899235559748,False,False,True,True,False,False,False,2,True,bias_extremo|rmse_extremo,215.16293274638605
