rede,variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,sen_slope_c_decada,rho1_rank_detrendido,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_p_classico,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
principal_consecutiva_15a,tmax_inmet,A801,PORTO ALEGRE,RS,Sul,19,2007,2025,1.3333257039388022,-0.2570298769771529,0,1.0,0.08589714493338896,0.08589714493338896,0.09663428805006258,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,-0.409698486328125,0.10107334525939177,0,1.0,0.11328720822235328,0.11328720822235328,0.3823443277504423,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A002,GOIANIA,GO,Centro-Oeste,15,2010,2024,-1.6530391148158483,-0.39177101967799643,0,1.0,0.0015392574185091323,0.0015392574185091323,0.04155995029974657,True,True,True,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A036,CRISTALINA,GO,Centro-Oeste,18,2008,2025,-0.5782737731933594,-0.08109504132231404,0,1.0,0.06904431984775128,0.06904431984775128,0.26631380512704067,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,-0.7740473747253418,-0.2426470588235294,0,1.0,0.015083622594694868,0.015083622594694868,0.10181445251419036,True,True,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,-1.56005859375,-0.2237442922374429,0,1.0,0.008123423304273514,0.008123423304273514,0.10181445251419036,True,True,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A101,MANAUS,AM,Norte,15,2011,2025,1.1102973090277777,-0.554561717352415,1,1.887298747763864,0.11328720822235328,0.24902706558351273,0.5603108975629036,False,False,False,False,0.13573985736115945
sensibilidade_consecutiva_10a,delta_tmax,A408,ITABERABA,BA,Nordeste,12,2012,2023,-0.4642343521118164,-0.243006993006993,0,1.0,0.2437222847721745,0.2437222847721745,0.5603108975629036,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A409,ARACAJU,SE,Nordeste,10,2011,2020,1.2647724151611328,0.17073170731707318,0,1.0,0.37109336952269767,0.37109336952269767,0.6434607747857742,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A430,PIATA,BA,Nordeste,12,2009,2020,0.06058999470302037,0.06818181818181818,1,1.705657978385251,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A502,BARBACENA,MG,Sudeste,10,2013,2022,-0.5396216256277901,-0.18902439024390244,0,1.0,0.8580276569875211,0.8580276569875211,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A506,MONTES CLAROS,MG,Sudeste,10,2016,2025,0.7335805892944336,0.23780487804878048,0,1.0,0.4742743507673297,0.4742743507673297,0.7256336797446785,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A507,UBERLANDIA,MG,Sudeste,17,2009,2025,0.22228326116289412,0.33578431372549017,0,1.0,0.48375578649645234,0.48375578649645234,0.7256336797446785,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A509,MONTE VERDE,MG,Sudeste,10,2016,2025,1.0481452941894531,-0.7469512195121951,1,2.0457317073170733,0.2104977000553374,0.3813100887619403,0.6434607747857742,False,False,False,False,0.17081238870660287
sensibilidade_consecutiva_10a,delta_tmax,A510,VICOSA,MG,Sudeste,11,2011,2021,-0.3427696228027344,0.091324200913242,0,1.0,0.7554968749288828,0.7554968749288828,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A513,OURO BRANCO,MG,Sudeste,12,2010,2021,0.9285695212227957,0.02972027972027972,0,1.0,0.0467449410537113,0.0467449410537113,0.22094091724169518,True,True,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A521,PAMPULHA,MG,Sudeste,17,2009,2025,0.36368370056152344,-0.27450980392156865,0,1.0,0.3434194871827416,0.3434194871827416,0.6434607747857742,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A531,MARIA DA FE,MG,Sudeste,18,2008,2025,-0.03441810607910156,0.24948347107438015,2,1.8115125182304328,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A533,GUANHAES,MG,Sudeste,11,2008,2018,-0.5713510513305664,-0.3789954337899543,0,1.0,0.7554968749288828,0.7554968749288828,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A539,MOCAMBINHO,MG,Sudeste,10,2016,2025,-0.5412063598632812,-0.5152439024390244,0,1.0,0.28313087066234677,0.28313087066234677,0.588041039067951,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A555,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,0.47656279343825114,-0.43502202643171806,0,1.0,0.1546297519658153,0.1546297519658153,0.46388925589744584,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A701,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,0.008606910705566406,-0.1187214611872146,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A703,PONTA PORA,MS,Centro-Oeste,10,2012,2021,0.1759052276611328,-0.7987804878048781,1,2.118292682926829,1.0,1.0,1.0,False,False,False,False,0.0
