rede,variavel,area,n_estacoes,sen_mediana_c_decada,sen_media_c_decada,sen_p25_c_decada,sen_p75_c_decada,n_slope_positivo,pct_slope_positivo,n_significativo_fdr05,pct_significativo_fdr05
principal_15a,tmax_inmet,Brasil,45,0.8749985694885254,0.8417774475970068,0.44444190131293404,1.3333352406819663,40,88.88888888888889,0,0.0
principal_15a,tmax_inmet,Norte,1,0.1714259556361607,0.1714259556361607,0.1714259556361607,0.1714259556361607,1,100.0,0,0.0
principal_15a,tmax_inmet,Nordeste,4,-0.08974711100260419,-0.06532797187265724,-0.43333880106608075,0.2782637181908193,2,50.0,0,0.0
principal_15a,tmax_inmet,Centro-Oeste,7,1.031250556310018,1.14452221076276,0.9166672494676378,1.4940474828084307,7,100.0,0,0.0
principal_15a,tmax_inmet,Sudeste,26,1.000002452305385,1.0260360245699887,0.6881882070185064,1.4461529071514423,24,92.3076923076923,0,0.0
principal_15a,tmax_inmet,Sul,7,0.2857153756277902,0.4687541370801062,0.14957036727514023,0.7648806344895136,6,85.71428571428571,0,0.0
principal_15a,tmax_era5,Brasil,45,0.903063322368421,0.9364368807212718,0.45200892857142855,1.2365964253743489,45,100.0,0,0.0
principal_15a,tmax_era5,Norte,1,1.6987173897879466,1.6987173897879466,1.6987173897879466,1.6987173897879466,1,100.0,0,0.0
principal_15a,tmax_era5,Nordeste,4,0.22460065569196427,0.21837942940848215,0.17266555059523808,0.27031453450520837,4,100.0,0,0.0
principal_15a,tmax_era5,Centro-Oeste,7,0.6726310229060626,0.6844739984196683,0.5044386121961806,0.8724300986842105,7,100.0,0,0.0
principal_15a,tmax_era5,Sudeste,26,1.074371337890625,1.137866243721469,0.6555684407552084,1.3987986246744792,26,100.0,0,0.0
principal_15a,tmax_era5,Sul,7,0.7156808035714286,0.7416548856199255,0.5337172288161058,0.8594010950444819,7,100.0,0,0.0
principal_15a,delta_tmax,Brasil,45,0.031476338704427086,0.03512588805071179,-0.3785371780395508,0.2235126495361328,24,53.333333333333336,0,0.0
principal_15a,delta_tmax,Norte,1,1.3182566716120792,1.3182566716120792,1.3182566716120792,1.3182566716120792,1,100.0,0,0.0
principal_15a,delta_tmax,Nordeste,4,0.3029324458195613,0.2407052170517098,-0.055693663083589987,0.5993313259548612,3,75.0,0,0.0
principal_15a,delta_tmax,Centro-Oeste,7,-0.5782737731933594,-0.4220676687293318,-0.7051335598205354,-0.06127039591471353,2,28.571428571428573,0,0.0
principal_15a,delta_tmax,Sudeste,26,-0.012708504994710285,0.04491127925589005,-0.32345718807644314,0.18968184789021808,13,50.0,0,0.0
principal_15a,delta_tmax,Sul,7,0.4838226636250814,0.15519540613075627,-0.09478727976481122,0.552067023057204,5,71.42857142857143,0,0.0
sensibilidade_10a,tmax_inmet,Brasil,214,0.8333333333333333,0.8563266909677216,0.4029395720537971,1.333334763844808,182,85.04672897196262,0,0.0
sensibilidade_10a,tmax_inmet,Norte,10,0.5432701110839844,0.45214865325174447,0.20549283708844865,0.8346152672400842,8,80.0,0,0.0
sensibilidade_10a,tmax_inmet,Nordeste,36,0.4999991257985433,0.38446131210149187,-0.10416507720947266,0.6666673024495442,25,69.44444444444444,0,0.0
sensibilidade_10a,tmax_inmet,Centro-Oeste,34,1.0348566133024057,1.193679939551061,0.9285708836146764,1.562498893056597,33,97.05882352941177,0,0.0
sensibilidade_10a,tmax_inmet,Sudeste,84,0.9999995231628418,0.9911779083402793,0.42424086368445196,1.4656580149472416,74,88.0952380952381,0,0.0
sensibilidade_10a,tmax_inmet,Sul,50,0.6833349863688151,0.8209551170720346,0.29762018294561476,1.1986116303337946,42,84.0,0,0.0
sensibilidade_10a,tmax_era5,Brasil,214,0.7386783119681832,0.8486995365742053,0.3802706514086042,1.2198465892246793,197,92.05607476635514,0,0.0
sensibilidade_10a,tmax_era5,Norte,10,0.4411061604817708,0.5140143669806756,0.3478240966796875,0.48805930397727276,9,90.0,0,0.0
sensibilidade_10a,tmax_era5,Nordeste,36,0.38735491888863693,0.4476689413649157,0.16674259730747767,0.7131849016462053,31,86.11111111111111,0,0.0
sensibilidade_10a,tmax_era5,Centro-Oeste,34,0.882788636630639,0.9105940673033481,0.6363854041466346,1.2980815342494418,31,91.17647058823529,0,0.0
sensibilidade_10a,tmax_era5,Sudeste,84,0.9263102213541667,0.9891411298397015,0.43006005225243504,1.4737701416015625,78,92.85714285714286,0,0.0
sensibilidade_10a,tmax_era5,Sul,50,0.8147125244140625,0.9263484414617489,0.4639434814453125,1.3268808218149037,48,96.0,0,0.0
sensibilidade_10a,delta_tmax,Brasil,214,0.03822580973307292,-0.005028693050116438,-0.3896200656890869,0.3691959778467814,116,54.205607476635514,0,0.0
sensibilidade_10a,delta_tmax,Norte,10,-0.13481183485551312,-0.03924505519792846,-0.552217960357666,0.19984696128151633,4,40.0,0,0.0
sensibilidade_10a,delta_tmax,Nordeste,36,0.18360487620035804,0.07590666654116743,-0.19156554257953085,0.5479973554611206,24,66.66666666666667,0,0.0
sensibilidade_10a,delta_tmax,Centro-Oeste,34,-0.2879210079417509,-0.2756251797562937,-0.7241838318961007,0.2136639753977458,12,35.294117647058826,0,0.0
sensibilidade_10a,delta_tmax,Sudeste,84,-0.012708504994710285,-0.029267452207495555,-0.3211004593793083,0.19856834411621094,42,50.0,0,0.0
sensibilidade_10a,delta_tmax,Sul,50,0.15911324818929037,0.1682678468183191,-0.1495129948570615,0.5297208554816968,34,68.0,0,0.0
