codigo,ano,classificacao,r_lag0,rmse_lag0_c,melhor_lag_correlacao_h,melhor_correlacao,rmse_no_melhor_r,melhor_lag_rmse_h,menor_rmse_c,r_no_menor_rmse,ganho_correlacao,reducao_rmse_c
A316,2013,controle,0.9575921052024724,1.5112298727035522,0,0.9575921052024724,1.5112298727035522,0,1.5112298727035522,0.9575921052024724,0.0,0.0
A316,2014,anomalia,-0.30190411789246546,6.809920787811279,11,0.5721145125229401,4.051478862762451,11,4.051478862762451,0.5721145125229401,0.8740186304154056,2.758441925048828
A316,2015,anomalia,-0.5634791548718733,7.6403374671936035,11,0.789352722236688,2.996819019317627,11,2.996819019317627,0.789352722236688,1.3528318771085612,4.643518447875977
A316,2016,controle,0.9630128803482266,1.5981106758117676,0,0.9630128803482266,1.5981106758117676,0,1.5981106758117676,0.9630128803482266,0.0,0.0
A355,2014,controle,0.7957306281281916,2.1937336921691895,1,0.801398084952371,2.1836702823638916,1,2.1836702823638916,0.801398084952371,0.005667456824179351,0.010063409805297852
A355,2015,anomalia,0.6864341379052631,6.264287948608398,0,0.6864341379052631,6.264287948608398,0,6.264287948608398,0.6864341379052631,0.0,0.0
A355,2017,controle,0.8678946620605512,2.0735349655151367,1,0.8697715186860103,2.065898895263672,1,2.065898895263672,0.8697715186860103,0.0018768566254591112,0.007636070251464844
A402,2005,anomalia,0.28173249836937503,17.197359085083008,-24,0.3072165806925986,17.28770637512207,3,17.15509796142578,0.13673986809152586,0.025484082323223578,0.04226112365722656
A402,2006,controle,0.7901026389791064,2.5703141689300537,0,0.7901026389791064,2.5703141689300537,0,2.5703141689300537,0.7901026389791064,0.0,0.0
A610,2012,controle_sistematico,0.8883182688131974,7.217901229858398,0,0.8883182688131974,7.217901229858398,0,7.217901229858398,0.8883182688131974,0.0,0.0
